it0,it1,distance
5000,0,49.13807678222656
10000,0,129.96670532226562
15000,0,237.55679321289062
20000,0,310.6561584472656
25000,0,379.4658508300781
30000,0,422.1776428222656
35000,0,442.0946960449219
40000,0,451.48291015625
45000,0,454.9281921386719
50000,0,455.5346374511719
55000,0,456.1169128417969
60000,0,459.40960693359375
65000,0,467.4609375
70000,0,481.8061828613281
75000,0,503.4673767089844
80000,0,522.9708862304688
85000,0,533.6098022460938
90000,0,538.540283203125
95000,0,540.0856323242188
100000,0,540.1302490234375
105000,0,540.2040405273438
110000,0,541.9544677734375
115000,0,547.3672485351562
120000,0,558.0407104492188
125000,0,575.064453125
130000,0,590.790771484375
135000,0,599.3221435546875
140000,0,603.0228271484375
145000,0,603.9373779296875
150000,0,603.7965087890625
155000,0,603.6895141601562
160000,0,604.809814453125
165000,0,609.08642578125
170000,0,618.0973510742188
175000,0,633.0064697265625
180000,0,646.7490234375
185000,0,654.0421752929688
190000,0,657.074951171875
195000,0,657.57958984375
200000,0,657.3285522460938
205000,0,657.1071166992188
210000,0,657.8571166992188
215000,0,661.468505859375
220000,0,669.40283203125
225000,0,682.7984008789062
230000,0,695.2804565429688
235000,0,701.730712890625
240000,0,704.2313232421875
245000,0,704.4981689453125
250000,0,704.1395263671875
255000,0,703.8584594726562
260000,0,704.4024047851562
265000,0,707.4912109375
270000,0,714.58251953125
275000,0,726.8782958984375
280000,0,738.34228515625
285000,0,744.196044921875
290000,0,746.2286376953125
295000,0,746.26806640625
300000,0,745.8475341796875
305000,0,745.4674072265625
310000,0,745.793701171875
315000,0,748.4363403320312
320000,0,754.948486328125
325000,0,766.318115234375
330000,0,776.9843139648438
335000,0,782.3733520507812
340000,0,784.1783447265625
345000,0,784.079833984375
350000,0,783.6126098632812
355000,0,783.2005004882812
360000,0,783.3640747070312
365000,0,785.7775268554688
370000,0,791.7384033203125
375000,0,802.4425048828125
380000,0,812.4849243164062
385000,0,817.3754272460938
390000,0,818.8667602539062
395000,0,818.6466064453125
400000,0,818.1456909179688
0,5000,49.13807678222656
5000,10000,108.76981353759766
10000,15000,145.01686096191406
15000,20000,133.74017333984375
20000,25000,151.60836791992188
25000,30000,140.89930725097656
30000,35000,107.69829559326172
35000,40000,78.60113525390625
40000,45000,50.15333557128906
45000,50000,21.40219497680664
50000,55000,21.050504684448242
55000,60000,47.201454162597656
60000,65000,72.6628189086914
65000,70000,98.6873550415039
70000,75000,125.2448501586914
75000,80000,126.60038757324219
80000,85000,102.71381378173828
85000,90000,76.9017105102539
90000,95000,49.71062469482422
95000,100000,21.401338577270508
100000,105000,21.173206329345703
105000,110000,47.47368621826172
110000,115000,72.93435668945312
115000,120000,98.423828125
120000,125000,124.47802734375
125000,130000,126.17573547363281
130000,135000,102.69375610351562
135000,140000,77.0506820678711
140000,145000,50.028987884521484
145000,150000,21.57686424255371
150000,155000,21.382883071899414
155000,160000,47.899330139160156
160000,165000,73.50418090820312
165000,170000,98.92179870605469
170000,175000,124.88170623779297
175000,180000,126.48226165771484
180000,185000,103.1200942993164
185000,190000,77.32608795166016
190000,195000,50.13911819458008
195000,200000,21.612749099731445
200000,205000,21.46544075012207
205000,210000,48.19770050048828
210000,215000,73.97526550292969
215000,220000,99.4078598022461
220000,225000,125.16756439208984
225000,230000,126.51622009277344
230000,235000,103.13755798339844
235000,240000,77.40343475341797
240000,245000,50.298301696777344
245000,250000,21.714998245239258
250000,255000,21.556262969970703
255000,260000,48.38869094848633
260000,265000,74.0645523071289
265000,270000,99.64788818359375
270000,275000,125.39203643798828
275000,280000,126.68869018554688
280000,285000,103.36229705810547
285000,290000,77.64056396484375
290000,295000,50.438194274902344
295000,300000,21.714109420776367
300000,305000,21.63067626953125
305000,310000,48.62586212158203
310000,315000,74.2891616821289
315000,320000,99.76496124267578
320000,325000,125.54326629638672
325000,330000,126.92669677734375
330000,335000,103.46920776367188
335000,340000,77.6627197265625
340000,345000,50.46604919433594
345000,350000,21.77634620666504
350000,355000,21.682382583618164
355000,360000,48.60561752319336
360000,365000,74.46766662597656
365000,370000,99.9484634399414
370000,375000,125.5378189086914
375000,380000,127.03914642333984
380000,385000,103.41486358642578
385000,390000,77.7177963256836
390000,395000,50.400611877441406
395000,400000,21.732940673828125
