it0,it1,distance
5000,0,59.30681610107422
10000,0,178.55853271484375
15000,0,308.8769226074219
20000,0,400.2208557128906
25000,0,503.5918273925781
30000,0,571.7837524414062
35000,0,605.0728149414062
40000,0,619.416259765625
45000,0,624.0347900390625
50000,0,624.6478271484375
55000,0,625.1304321289062
60000,0,629.0018920898438
65000,0,640.94482421875
70000,0,664.18896484375
75000,0,700.2758178710938
80000,0,733.3568725585938
85000,0,750.973388671875
90000,0,758.8243408203125
95000,0,760.8370361328125
100000,0,760.7174682617188
105000,0,760.522705078125
110000,0,762.177734375
115000,0,769.6105346679688
120000,0,785.8482055664062
125000,0,813.25341796875
130000,0,839.0120849609375
135000,0,852.7387084960938
140000,0,858.3341674804688
145000,0,859.1630249023438
150000,0,858.6572265625
155000,0,858.0543212890625
160000,0,858.5845947265625
165000,0,863.8511352539062
170000,0,876.95458984375
175000,0,899.9539184570312
180000,0,921.7877197265625
185000,0,932.7052001953125
190000,0,936.5751953125
195000,0,936.6680297851562
200000,0,935.9672241210938
205000,0,935.2090454101562
210000,0,935.251708984375
215000,0,938.9896850585938
220000,0,950.2745971679688
225000,0,970.609375
230000,0,989.9243774414062
235000,0,999.5158081054688
240000,0,1002.572021484375
245000,0,1002.1422119140625
250000,0,1001.307861328125
255000,0,1000.458984375
260000,0,999.783935546875
265000,0,1002.6177368164062
270000,0,1011.3734741210938
275000,0,1028.9208984375
280000,0,1045.658447265625
285000,0,1054.018310546875
290000,0,1056.134765625
295000,0,1055.718994140625
300000,0,1054.7974853515625
305000,0,1053.9290771484375
310000,0,1053.34814453125
315000,0,1055.6051025390625
320000,0,1063.83642578125
325000,0,1079.5535888671875
330000,0,1095.8125
335000,0,1103.3927001953125
340000,0,1105.5616455078125
345000,0,1105.08740234375
350000,0,1104.1434326171875
355000,0,1103.2205810546875
360000,0,1102.6707763671875
365000,0,1105.0059814453125
370000,0,1113.5428466796875
375000,0,1129.4593505859375
380000,0,1145.2659912109375
385000,0,1152.533935546875
390000,0,1154.8636474609375
395000,0,1154.20849609375
400000,0,1153.2518310546875
0,5000,59.30681610107422
5000,10000,152.6185760498047
10000,15000,184.7738494873047
15000,20000,193.80528259277344
20000,25000,246.67539978027344
25000,30000,228.74716186523438
30000,35000,174.57220458984375
35000,40000,126.13765716552734
40000,45000,80.09317016601562
45000,50000,33.79267120361328
50000,55000,33.281795501708984
55000,60000,75.7781753540039
60000,65000,117.50498962402344
65000,70000,159.4784393310547
70000,75000,201.659423828125
75000,80000,201.8396759033203
80000,85000,161.546630859375
85000,90000,119.5323715209961
90000,95000,76.91648864746094
95000,100000,32.8776969909668
100000,105000,32.534061431884766
105000,110000,73.95979309082031
110000,115000,114.26183319091797
115000,120000,154.90667724609375
120000,125000,195.52682495117188
125000,130000,197.06817626953125
130000,135000,159.06454467773438
135000,140000,118.06159973144531
140000,145000,76.11693572998047
145000,150000,32.518165588378906
150000,155000,32.36305618286133
155000,160000,73.15736389160156
160000,165000,113.09192657470703
165000,170000,153.01722717285156
170000,175000,193.46043395996094
175000,180000,194.91107177734375
180000,185000,157.49693298339844
185000,190000,117.16554260253906
190000,195000,75.55635070800781
195000,200000,32.375205993652344
200000,205000,32.24917984008789
205000,210000,73.00404357910156
210000,215000,112.47293853759766
215000,220000,152.64366149902344
220000,225000,192.67776489257812
225000,230000,194.2008056640625
230000,235000,156.9191436767578
235000,240000,116.6977310180664
240000,245000,75.42222595214844
245000,250000,32.38975524902344
250000,255000,32.096435546875
255000,260000,72.84151458740234
260000,265000,112.49371337890625
265000,270000,151.43505859375
270000,275000,191.69583129882812
275000,280000,193.6944122314453
280000,285000,156.3876190185547
285000,290000,116.65401458740234
290000,295000,75.34720611572266
295000,300000,32.326904296875
300000,305000,32.143829345703125
305000,310000,72.92601013183594
310000,315000,112.3684310913086
315000,320000,151.56578063964844
320000,325000,191.4713134765625
325000,330000,193.12908935546875
330000,335000,155.83607482910156
335000,340000,116.71432495117188
340000,345000,75.46758270263672
345000,350000,32.351810455322266
350000,355000,32.2570915222168
355000,360000,72.9866714477539
360000,365000,112.44915008544922
365000,370000,152.3223876953125
370000,375000,191.80149841308594
375000,380000,193.22996520996094
380000,385000,155.9248046875
385000,390000,116.92574310302734
390000,395000,75.27725219726562
395000,400000,32.23828125
