batch size,lm,ft_dataset,eval_dataset,value
0gpu,false,ls960h,dev-clean,0.077056
0gpu,false,ls960h,dev-other,0.20509
0gpu,false,ls960h,test-clean,0.079409
0gpu,false,ls960h,test-other,0.21776
16gpu,false,ls960h,dev-clean,0.0388404838057424
16gpu,false,ls960h,dev-other,0.106206328020727
16gpu,false,ls960h,test-clean,0.0411784844796105
16gpu,false,ls960h,test-other,0.106203312763884
1gpu,false,ls960h,dev-clean,0.0699238998566229
1gpu,false,ls960h,dev-other,0.185228075685012
1gpu,false,ls960h,test-clean,0.0705454960438223
1gpu,false,ls960h,test-other,0.196014748868044
2gpu,false,ls960h,dev-clean,0.0582147715157531
2gpu,false,ls960h,dev-other,0.162714925021591
2gpu,false,ls960h,test-clean,0.0601224893487523
2gpu,false,ls960h,test-other,0.168389278413541
32gpu,false,ls960h,dev-clean,0.0400904378515496
32gpu,false,ls960h,dev-other,0.120004710685405
32gpu,false,ls960h,test-clean,0.0421675289105295
32gpu,false,ls960h,test-other,0.115774793191067
4gpu,false,ls960h,dev-clean,0.0491158413293629
4gpu,false,ls960h,dev-other,0.141006516448143
4gpu,false,ls960h,test-clean,0.0527046561168594
4gpu,false,ls960h,test-other,0.139082589840093
8gpu,false,ls960h,dev-clean,0.0435645748318077
8gpu,false,ls960h,dev-other,0.12412656041454
8gpu,false,ls960h,test-clean,0.0443928788800974
8gpu,false,ls960h,test-other,0.125288959364194
scratch,false,ls960h,dev-clean,0.260045586559318
scratch,false,ls960h,dev-other,0.45479704797048
scratch,false,ls960h,test-clean,0.254450699939136
scratch,false,ls960h,test-other,0.486521597921403
0gpu,true,ls960h,dev-clean,0.0444468967616558
0gpu,true,ls960h,dev-other,0.130898177623749
0gpu,true,ls960h,test-clean,0.0469035282731056
0gpu,true,ls960h,test-other,0.144164457917213
16gpu,true,ls960h,dev-clean,0.0286754163449873
16gpu,true,ls960h,dev-other,0.0774907749077491
16gpu,true,ls960h,test-clean,0.0320108034083993
16gpu,true,ls960h,test-other,0.0786733660661406
1gpu,true,ls960h,dev-clean,0.0409176133230396
1gpu,true,ls960h,dev-other,0.120142105676376
1gpu,true,ls960h,test-clean,0.0434608947048083
1gpu,true,ls960h,test-other,0.127734367537207
2gpu,true,ls960h,dev-clean,0.0362119039741186
2gpu,true,ls960h,dev-other,0.108385020020413
2gpu,true,ls960h,test-clean,0.0412165246500304
2gpu,true,ls960h,test-other,0.114475670099154
32gpu,true,ls960h,dev-clean,0.0310098893423036
32gpu,true,ls960h,dev-other,0.0890712098610348
32gpu,true,ls960h,test-clean,0.0334373097991479
32gpu,true,ls960h,test-other,0.0867928853905966
4gpu,true,ls960h,dev-clean,0.0324804235138414
4gpu,true,ls960h,dev-other,0.0946847766350004
4gpu,true,ls960h,test-clean,0.0373934875228241
4gpu,true,ls960h,test-other,0.0966318323367021
8gpu,true,ls960h,dev-clean,0.0311017977280247
8gpu,true,ls960h,dev-other,0.0869121457172018
8gpu,true,ls960h,test-clean,0.033304169202678
8gpu,true,ls960h,test-other,0.0889899317960377
scratch,true,ls960h,dev-clean,0.128543068269549
scratch,true,ls960h,dev-other,0.290786684462589
scratch,true,ls960h,test-clean,0.126217285453439
scratch,true,ls960h,test-other,0.322048793534952
0gpu,false,ls10h,dev-clean,0.48035
0gpu,false,ls10h,dev-other,0.6603
0gpu,false,ls10h,test-clean,0.47744
0gpu,false,ls10h,test-other,0.6798
16gpu,false,ls10h,dev-clean,0.110418734605345
16gpu,false,ls10h,dev-other,0.192882939467693
16gpu,false,ls10h,test-clean,0.111096317711503
16gpu,false,ls10h,test-other,0.197753281241045
1gpu,false,ls10h,dev-clean,0.34215653836256
1gpu,false,ls10h,dev-other,0.527694904608621
1gpu,false,ls10h,test-clean,0.345309646987218
1gpu,false,ls10h,test-other,0.544275261257475
2gpu,false,ls10h,dev-clean,0.232068673945811
2gpu,false,ls10h,dev-other,0.391399073565204
2gpu,false,ls10h,test-clean,0.232387401095557
2gpu,false,ls10h,test-other,0.402365168217336
32gpu,false,ls10h,dev-clean,0.102716811881916
32gpu,false,ls10h,dev-other,0.194570935071053
32gpu,false,ls10h,test-clean,0.10381162507608
32gpu,false,ls10h,test-other,0.195575339586955
4gpu,false,ls10h,dev-clean,0.161097018491967
4gpu,false,ls10h,dev-other,0.283406610661851
4gpu,false,ls10h,test-clean,0.162735849056604
4gpu,false,ls10h,test-other,0.295130198880462
8gpu,false,ls10h,dev-clean,0.13028932759825
8gpu,false,ls10h,dev-other,0.237438172254063
8gpu,false,ls10h,test-clean,0.132608034083993
8gpu,false,ls10h,test-other,0.23829356360927
scratch,false,ls10h,dev-clean,1.04126686518878
scratch,false,ls10h,dev-other,1.04581141556096
scratch,false,ls10h,test-clean,1.05591905051735
scratch,false,ls10h,test-other,1.04033013010336
0gpu,true,ls10h,dev-clean,0.296183973550797
0gpu,true,ls10h,dev-other,0.510088741779327
0gpu,true,ls10h,test-clean,0.298082768917084
0gpu,true,ls10h,test-other,0.536881744861603
16gpu,true,ls10h,dev-clean,0.0648505569648175
16gpu,true,ls10h,dev-other,0.130407474287509
16gpu,true,ls10h,test-clean,0.0659426354230067
16gpu,true,ls10h,test-other,0.13455476376975
1gpu,true,ls10h,dev-clean,0.199165471857652
1gpu,true,ls10h,dev-other,0.379131663657062
1gpu,true,ls10h,test-clean,0.202031345100426
1gpu,true,ls10h,test-other,0.399556769768641
2gpu,true,ls10h,dev-clean,0.130473144369692
2gpu,true,ls10h,dev-other,0.270393342231295
2gpu,true,ls10h,test-clean,0.134243761412051
2gpu,true,ls10h,test-other,0.280687006858606
32gpu,true,ls10h,dev-clean,0.0625160839675012
32gpu,true,ls10h,dev-other,0.134804113998587
32gpu,true,ls10h,test-clean,0.0627853012781497
32gpu,true,ls10h,test-other,0.136713600672487
4gpu,true,ls10h,dev-clean,0.0939671335612661
4gpu,true,ls10h,dev-other,0.195179398602497
4gpu,true,ls10h,test-clean,0.0946439440048691
4gpu,true,ls10h,test-other,0.202720516592477
8gpu,true,ls10h,dev-clean,0.076449395242822
8gpu,true,ls10h,dev-other,0.162950459291827
8gpu,true,ls10h,test-clean,0.0765938831405965
8gpu,true,ls10h,test-other,0.16307815753778
scratch,true,ls10h,dev-clean,0.994761222013896
scratch,true,ls10h,dev-other,1.00025516212609
scratch,true,ls10h,test-clean,1.00557288496652
scratch,true,ls10h,test-other,0.992549146972852
0gpu,false,ls100h,dev-clean,0.21192
0gpu,false,ls100h,dev-other,0.45833
0gpu,false,ls100h,test-clean,0.21312
0gpu,false,ls100h,test-other,0.48154
16gpu,false,ls100h,dev-clean,0.0617624352045881
16gpu,false,ls100h,dev-other,0.147817382429143
16gpu,false,ls100h,test-clean,0.0624239196591601
16gpu,false,ls100h,test-other,0.148673175018627
1gpu,false,ls100h,dev-clean,0.162824896143524
1gpu,false,ls100h,dev-other,0.385706995367826
1gpu,false,ls100h,test-clean,0.16682516737675
1gpu,false,ls100h,test-other,0.40414191009304
2gpu,false,ls100h,dev-clean,0.11810227565163
2gpu,false,ls100h,dev-other,0.303898092172411
2gpu,false,ls100h,test-clean,0.123801734631771
2gpu,false,ls100h,test-other,0.314349578740233
32gpu,false,ls100h,dev-clean,0.0583434432557627
32gpu,false,ls100h,dev-other,0.159201538823899
32gpu,false,ls100h,test-clean,0.0586008825319537
32gpu,false,ls100h,test-other,0.159658407045832
4gpu,false,ls100h,dev-clean,0.0875335465607882
4gpu,false,ls100h,dev-other,0.229822564183089
4gpu,false,ls100h,test-clean,0.0909540474741327
4gpu,false,ls100h,test-other,0.234300670576772
8gpu,false,ls100h,dev-clean,0.0716885408624683
8gpu,false,ls100h,dev-other,0.186503886315459
8gpu,false,ls100h,test-clean,0.0741022519780889
8gpu,false,ls100h,test-other,0.189328085894962
scratch,false,ls100h,dev-clean,0.70181243336642
scratch,false,ls100h,dev-other,0.831141556096412
scratch,false,ls100h,test-clean,0.690162811929397
scratch,false,ls100h,test-other,0.847009151175898
0gpu,true,ls100h,dev-clean,0.118947833776474
0gpu,true,ls100h,dev-other,0.334988623857498
0gpu,true,ls100h,test-clean,0.123250149190426
0gpu,true,ls100h,test-other,0.359876215457916
16gpu,true,ls100h,dev-clean,0.042351384140289
16gpu,true,ls100h,dev-other,0.107639161497998
16gpu,true,ls100h,test-clean,0.0438412964090079
16gpu,true,ls100h,test-other,0.108763349445007
1gpu,true,ls100h,dev-clean,0.0967427668100438
1gpu,true,ls100h,dev-other,0.283426238517704
1gpu,true,ls100h,test-clean,0.0993419050517346
1gpu,true,ls100h,test-other,0.296295588712913
2gpu,true,ls100h,dev-clean,0.0715231057681703
2gpu,true,ls100h,dev-other,0.218987987752218
2gpu,true,ls100h,test-clean,0.0771644856968959
2gpu,true,ls100h,test-other,0.226582351030701
