batch size,ft_dataset,clean-no-lm,other-no-lm,clean-lm,other-lm
scratch,ls10m,129.45,129.47,111.17,111.95
0gpu,ls10m,101.77,102.07,96.80,97.34
1gpu,ls10m,72.07,82.02,54.44,68.26
2gpu,ls10m,61.26,71.06,40.96,53.53
4gpu,ls10m,50.39,59.45,32.06,42.32
8gpu,ls10m,47.04,54.67,27.30,35.96
16gpu,ls10m,45.44,52.05,26.89,34.35
32gpu,ls10m,41.64,50.06,24.38,34.47
scratch,ls1h,106.68,104.76,101.23,100.09
0gpu,ls1h,102.21,103.06,93.72,95.61
1gpu,ls1h,53.28,68.37,34.00,52.00
2gpu,ls1h,39.04,53.57,22.31,37.11
4gpu,ls1h,28.83,41.47,15.69,27.03
8gpu,ls1h,25.12,35.23,13.14,22.25
16gpu,ls1h,23.26,31.75,11.90,19.52
32gpu,ls1h,21.94,31.30,11.80,20.72
scratch,ls10h,105.59,104.03,100.56,99.25
0gpu,ls10h,92.21,98.09,78.50,89.18
1gpu,ls10h,34.53,54.43,20.20,39.96
2gpu,ls10h,23.24,40.24,13.42,28.07
4gpu,ls10h,16.27,29.51,9.46,20.27
8gpu,ls10h,13.26,23.83,7.66,16.31
16gpu,ls10h,11.11,19.78,6.59,13.46
32gpu,ls10h,10.38,19.56,6.28,13.67
scratch,ls100h,69.02,84.70,50.36,73.44
0gpu,ls100h,44.74,70.44,26.41,55.58
1gpu,ls100h,16.68,40.41,9.93,29.63
2gpu,ls100h,12.38,31.43,7.72,22.66
4gpu,ls100h,9.10,23.43,5.93,16.87
8gpu,ls100h,7.41,18.93,5.12,13.72
16gpu,ls100h,6.24,14.87,4.38,10.88
32gpu,ls100h,5.86,15.97,4.45,12.05
scratch,ls960h,25.45,48.65,12.62,32.20
0gpu,ls960h,12.74,31.39,6.83,20.84
1gpu,ls960h,7.05,19.60,4.35,12.77
2gpu,ls960h,6.01,16.84,4.12,11.45
4gpu,ls960h,5.27,13.91,3.74,9.66
8gpu,ls960h,4.44,12.53,3.33,8.90
16gpu,ls960h,4.12,10.62,3.20,7.87
32gpu,ls960h,4.22,11.58,3.34,8.68
