"Name","sweep_id","Created","State","Tags","data.set.name","Runtime","step","train.num_steps","val/loss","val/wer","test/dev-clean_wer","test/dev-other_wer","network.asr_cfg.freeze_transformer_for_initial_steps","network.w2v2_cfg.percentage_masked","network.w2v2_cfg.layer_drop_prob","load_from_ckpt","decoder.beam_size","decoder.lm_weight","decoder.use_lm","decoder.word_score","test/test-clean_wer","test/test-other_wer"
"2789642_0","2023-12-01---08-00-06","2023-12-01T07:00:13.000Z","finished","1gpu, 50k, ft_time","ls_10m","5136","12000","12000","6.620643138885498","1.0158879577057764","1.019484577772876","1.0401389652194395","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/1gpu/w2v2.ssl.step_000000050000.loss_8149.88.progress.ckpt","50","2","false","0","1.0285871880706026","1.031178954205911"
"2789642_1","2023-12-01---08-00-06","2023-12-01T07:00:13.000Z","finished","100k, 1gpu, ft_time","ls_10m","5092","12000","12000","5.64430570602417","0.9892309523000034","0.9907723980736002","1.0216691528617414","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/1gpu/w2v2.ssl.step_000000100000.loss_7727.57.progress.ckpt","50","2","false","0","0.991612142422398","1.0133351164434594"
"2789642_2","2023-12-01---08-00-06","2023-12-01T07:00:13.000Z","finished","150k, 1gpu, ft_time","ls_10m","5089","12000","12000","4.983325481414795","0.9505575765817836","0.9478328002646962","0.9833948339483396","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/1gpu/w2v2.ssl.step_000000150000.loss_7393.51.progress.ckpt","50","2","false","0","0.9488549908703592","0.9770360888753032"
"2789642_3","2023-12-01---08-00-06","2023-12-01T07:00:13.000Z","finished","1gpu, 200k, ft_time","ls_10m","5106","12000","12000","4.192963123321533","0.8985525107945467","0.8826697547884269","0.9441980058098454","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/1gpu/w2v2.ssl.step_000000200000.loss_7020.06.progress.ckpt","50","2","false","0","0.8870587340231284","0.943163364728808"
"2789642_4","2023-12-01---09-25-19","2023-12-01T08:25:26.000Z","finished","1gpu, 250k, ft_time","ls_10m","5223","12000","12000","3.7124805450439458","0.8588655526467889","0.8434800191169443","0.9140299913637434","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/1gpu/w2v2.ssl.step_000000250000.loss_6864.59.progress.ckpt","50","2","false","0","0.8392232197200243","0.914754599468888"
"2789642_5","2023-12-01---09-25-19","2023-12-01T08:25:26.000Z","finished","1gpu, 300k, ft_time","ls_10m","5223","12000","12000","3.323902368545532","0.8229651854622105","0.8087386493143635","0.8809963099630996","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/1gpu/w2v2.ssl.step_000000300000.loss_6735.22.progress.ckpt","50","2","false","0","0.808277541083384","0.8828496647116137"
"2789642_6","2023-12-01---09-25-49","2023-12-01T08:25:56.000Z","finished","1gpu, 350k, ft_time","ls_10m","5261","12000","12000","2.9514734745025635","0.7675475130044538","0.746774015661189","0.8427023631938447","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/1gpu/w2v2.ssl.step_000000350000.loss_6622.31.progress.ckpt","50","2","false","0","0.7466334449178332","0.8474676652083373"
"2789642_7","2023-12-01---09-26-19","2023-12-01T08:26:26.000Z","finished","1gpu, 400k, ft_time","ls_10m","5286","12000","12000","2.7187159061431885","0.7398832999014041","0.7164442483732216","0.8102575174687917","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/1gpu/w2v2.ssl.step_000000400000.loss_6507.24.progress.ckpt","50","2","false","0","0.7200243457090688","0.8214660986187264"
"2789691_0","2023-12-01---15-01-47","2023-12-01T09:52:58.000Z","finished","2gpu, 50k, ft_time","ls_10m","18115","12000","12000","5.752900123596191","0.9804465712440078","0.9788426896069996","1.0050051032425218","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/2gpu/w2v2.ssl.step_000000050000.loss_7553.19.progress.ckpt","50","2","false","0","0.985506695069994","1.0004011997783848"
"2789691_1","2023-12-01---15-01-52","2023-12-01T09:52:58.000Z","finished","100k, 2gpu, ft_time","ls_10m","18143","12000","12000","4.374521255493164","0.9127044164145106","0.9029447446785044","0.9561121143126324","5000","0.05","0","/home/nvaessen/ceph/nanoW2V2/ckpt/ssl_cyclic/dirs/2gpu/w2v2.ssl.step_000000100000.loss_7078.86.progress.ckpt","50","2","false","0","0.9022557821059038","0.9528876831668036"
