num_gpus,batch size in sec,batch size label,hours seen,wer clean,wer other
0gpu,87.5,87.5 sec,1215.2777777777778,1.033228088861838,1.025371109795006
0gpu,87.5,87.5 sec,2430.5555555555557,1.0135803408399269,1.013640792465086
0gpu,87.5,87.5 sec,3645.8333333333335,1.0162051125989044,1.0160479911353957
0gpu,87.5,87.5 sec,4861.111111111111,1.013523280584297,1.0136025829623827
0gpu,87.5,87.5 sec,6076.388888888889,1.005097382836275,1.007049653248763
0gpu,87.5,87.5 sec,7291.666666666667,1.0160339318320146,1.0173280094759567
0gpu,87.5,87.5 sec,8506.944444444445,1.009395922093731,1.0150354393137573
0gpu,87.5,87.5 sec,9722.222222222223,1.0128385575167376,1.0143858777678008
1gpu,150.0,150 sec,2083.3333333333335,1.0285871880706026,1.031178954205911
1gpu,150.0,150 sec,4166.666666666667,0.991612142422398,1.0133351164434594
1gpu,150.0,150 sec,6250.0,0.9488549908703592,0.9770360888753032
1gpu,150.0,150 sec,8333.333333333334,0.8870587340231284,0.943163364728808
1gpu,150.0,150 sec,10416.666666666666,0.8392232197200243,0.914754599468888
1gpu,150.0,150 sec,12500.0,0.808277541083384,0.8828496647116137
1gpu,150.0,150 sec,14583.333333333334,0.7466334449178332,0.8474676652083373
1gpu,150.0,150 sec,16666.666666666668,0.7200243457090688,0.8214660986187264
2gpu,300.0,5 min,4166.666666666667,0.985506695069994,1.0004011997783848
2gpu,300.0,5 min,8333.333333333334,0.9022557821059038,0.9528876831668036
2gpu,300.0,5 min,12500.0,0.8116821363359707,0.8971209139713047
2gpu,300.0,5 min,16666.666666666668,0.7363055386488131,0.8353934623540875
2gpu,300.0,5 min,20833.333333333332,0.6908285149117468,0.7950251227480274
2gpu,300.0,5 min,25000.0,0.6440391052951917,0.7536442313203293
2gpu,300.0,5 min,29166.666666666668,0.6246195982958004,0.7314445102496991
2gpu,300.0,5 min,33333.333333333336,0.6096127510651248,0.7060925052060447
4gpu,600.0,10 min,8333.333333333334,0.8835400182592819,0.9395716714746958
4gpu,600.0,10 min,16666.666666666668,0.7316646378575776,0.8401314406892995
4gpu,600.0,10 min,25000.0,0.6372679549604382,0.7455247119958733
4gpu,600.0,10 min,33333.333333333336,0.5899650030432136,0.6944003973788281
4gpu,600.0,10 min,41666.666666666664,0.563565124771759,0.6678830025027225
4gpu,600.0,10 min,50000.0,0.5331520085209982,0.6329786217832375
4gpu,600.0,10 min,58333.333333333336,0.5217779975654291,0.6150583650153794
4gpu,600.0,10 min,66666.66666666667,0.5071325319537432,0.6004814397340619
8gpu,1200.0,20 min,16666.666666666668,0.7294963481436397,0.8312286265594253
8gpu,1200.0,20 min,33333.333333333336,0.5975730371272063,0.701392736373536
8gpu,1200.0,20 min,50000.0,0.5403796409007913,0.6390539327130658
8gpu,1200.0,20 min,66666.66666666667,0.5163762933657943,0.6063848079017251
8gpu,1200.0,20 min,83333.33333333333,0.4951688983566646,0.5782626139120799
8gpu,1200.0,20 min,100000.0,0.48611533779671334,0.5650803354794337
8gpu,1200.0,20 min,116666.66666666667,0.46871195982958,0.5482490495386203
8gpu,1200.0,20 min,133333.33333333334,0.47432288496652464,0.5471218692088723
16gpu,2400.0,40 min,33333.333333333336,0.5369560255629945,0.6352329824427335
16gpu,2400.0,40 min,66666.66666666667,0.5080264759586123,0.5874137898095256
16gpu,2400.0,40 min,100000.0,0.4804473524041388,0.5540568939495253
16gpu,2400.0,40 min,133333.33333333334,0.48056147291539864,0.5566169306306479
16gpu,2400.0,40 min,166666.66666666666,0.46534540474741326,0.5376841220411517
16gpu,2400.0,40 min,200000.0,0.463538496652465,0.5342452667978527
16gpu,2400.0,40 min,233333.33333333334,0.45507455873402314,0.52604932846799
16gpu,2400.0,40 min,266666.6666666667,0.45566418137553255,0.5250176718950003
32gpu,4800.0,80 min,66666.66666666667,0.5126103164942178,0.6042068662476358
32gpu,4800.0,80 min,133333.33333333334,0.4539904138770542,0.5345509428194792
32gpu,4800.0,80 min,200000.0,0.4284464394400487,0.5120264409758707
32gpu,4800.0,80 min,266666.6666666667,0.42399573950091296,0.5033910933649198
32gpu,4800.0,80 min,333333.3333333333,0.42633520998174074,0.5143954301434767
32gpu,4800.0,80 min,400000.0,0.4181375532562386,0.5019582370135452
32gpu,4800.0,80 min,466666.6666666667,0.4314516129032258,0.517929809143534
32gpu,4800.0,80 min,533333.3333333334,0.42981588557516737,0.50868310948933
