"Name","Created","State","Tags","step","train.num_steps","load_from_ckpt","optim.algo.lr","log.tags","val/loss","val/wer","test/dev-clean_wer","test/dev-other_wer"
"250265_8","2023-06-05T20:18:38.000Z","finished","2023-06-05, 960h","100000","100000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_400000.ckpt","0.0001","960h","0.08993995934724808","0.08244441233468194","0.07543840299988971","0.14928947161812042"
"250265_9","2023-06-05T20:18:37.000Z","finished","2023-06-05, 960h","100000","100000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/wav2vec2_base.ckpt","0.0001","960h","0.07771345973014832","0.0721045966069425","0.06740561008786441","0.14373478841171392"
"250265_10","2023-06-05T20:18:37.000Z","finished","2023-06-05, 960h","100000","100000","","0.0001","960h","0.8221840858459473","0.6424051439839527","0.6261902135950884","0.7399701656591035"
"249771_9","2023-06-05T18:19:09.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/wav2vec2_base.ckpt","0.00005","100h","0.1049146130681038","0.08802230306327134","0.0850152567920297","0.17943785820836933"
"249771_8","2023-06-05T18:19:09.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_400000.ckpt","0.00005","100h","0.11688964813947678","0.09882322442457415","0.09470240064703504","0.18114548166758265"
"249771_10","2023-06-05T18:19:09.000Z","finished","100h, 2023-06-05","50000","50000","","0.00005","100h","1.6822199821472168","0.9395675381633972","0.936932465718172","0.9617453089424512"
"249771_7","2023-06-05T18:18:59.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_350000.ckpt","0.00005","100h","0.1192920133471489","0.10195746778635298","0.09696334693577442","0.1861898406218105"
"249771_6","2023-06-05T18:18:58.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_300000.ckpt","0.00005","100h","0.12458210438489914","0.10603517152279604","0.1018161097018492","0.1888592290178221"
"249771_5","2023-06-05T18:17:55.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_250000.ckpt","0.00005","100h","0.13124006986618042","0.11282638629177574","0.10582331531928972","0.1960233964041768"
"249771_4","2023-06-05T17:17:59.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_200000.ckpt","0.00005","100h","0.1421947479248047","0.12166601502736885","0.11468328370280503","0.21072466043809376"
"249771_3","2023-06-05T17:17:59.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_150000.ckpt","0.00005","100h","0.15941239893436432","0.13596028966783394","0.1265946104922613","0.22960665776870537"
"249771_2","2023-06-05T17:12:31.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_100000.ckpt","0.00005","100h","0.18402571976184845","0.15639555638663177","0.14157567736480275","0.2602261128994269"
"249771_1","2023-06-05T17:12:31.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_050000.ckpt","0.00005","100h","0.2493730187416077","0.21454161425220145","0.18604095437667736","0.3438996624008793"
"249771_0","2023-06-05T17:12:31.000Z","finished","100h, 2023-06-05","50000","50000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_010000.ckpt","0.00005","100h","0.7399975061416626","0.5952342501614932","0.5481048490864306","0.7135510716809296"
"249770_10","2023-06-05T17:11:59.000Z","finished","10h, 2023-06-05","20000","20000","","0.00005","10h","2.4959990978240967","1.0802430047937988","1.063655747950443","1.084792337285075"
"249770_9","2023-06-05T16:19:16.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/wav2vec2_base.ckpt","0.00005","10h","0.18729880452156067","0.13855268078740693","0.12598801514650196","0.2154746015545262"
"249770_8","2023-06-05T16:19:16.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_400000.ckpt","0.00005","10h","0.20395661890506744","0.15280020739128958","0.13585897577294953","0.22206956112114312"
"249770_7","2023-06-05T16:18:54.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_350000.ckpt","0.00005","10h","0.2106423377990723","0.15765987828511202","0.13990294474467851","0.22891968281384945"
"249770_6","2023-06-05T16:11:49.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_300000.ckpt","0.00005","10h","0.21859461069107056","0.1648888246693639","0.14813793610529025","0.2348080395697574"
"249770_5","2023-06-05T16:11:49.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_250000.ckpt","0.00005","10h","0.23240604996681213","0.17622734845136503","0.15666703430020956","0.2478801915678731"
"249770_4","2023-06-05T16:11:49.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_200000.ckpt","0.00005","10h","0.24454379081726071","0.1894124196783735","0.17041652880408809","0.2662714925021591"
"249770_3","2023-06-05T16:11:49.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_150000.ckpt","0.00005","10h","0.271870493888855","0.2094375786216979","0.18484614536230284","0.2899034309492031"
"249770_2","2023-06-05T16:11:49.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_100000.ckpt","0.00005","10h","0.3121739327907562","0.23607545983068712","0.21032314988419545","0.3234474366020256"
"249770_1","2023-06-05T16:11:48.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_050000.ckpt","0.00005","10h","0.4256371855735779","0.32404039030360726","0.2892356898643432","0.4366216534505771"
"249770_0","2023-06-05T16:11:17.000Z","finished","10h, 2023-06-05","20000","20000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_010000.ckpt","0.00005","10h","1.3421326875686646","0.83002838880767","0.8169368773206868","0.9042945748606422"
"249769_9","2023-06-05T16:08:54.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/wav2vec2_base.ckpt","0.00005","1h","0.3855668306350708","0.23150265188862068","0.23317157457446416","0.31975739970165656"
"249769_10","2023-06-05T16:08:54.000Z","finished","1h, 2023-06-05","13000","13000","","0.00005","1h","3.7309036254882817","1.0133423146227858","1","1"
"249769_8","2023-06-05T16:02:46.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_400000.ckpt","0.00005","1h","0.42056435346603394","0.2440523748002584","0.2449726113010551","0.332613645285389"
"249769_7","2023-06-05T16:02:46.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_350000.ckpt","0.00005","1h","0.424852579832077","0.24945814775779415","0.25094665637292746","0.33779539923058804"
"249769_6","2023-06-05T16:02:46.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_300000.ckpt","0.00005","1h","0.44271788001060486","0.2595960969639275","0.2600455865593177","0.34694198005809845"
"249769_5","2023-06-05T16:02:46.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_250000.ckpt","0.00005","1h","0.4615402221679687","0.2739286199979601","0.2730414323002831","0.3677867629740127"
"249769_3","2023-06-05T14:59:44.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_150000.ckpt","0.00005","1h","0.5174964070320129","0.3117499065039268","0.31164295430315064","0.41218497291355893"
"249769_2","2023-06-05T14:59:44.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_100000.ckpt","0.00005","1h","0.5823531150817871","0.34654956991806346","0.3455387669570972","0.45483630368218575"
"249769_0","2023-06-05T14:59:44.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_010000.ckpt","0.00005","1h","3.1794116497039795","0.9772464556488628","0.9960111760597036","0.9953481981628328"
"249769_4","2023-06-05T14:59:43.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_200000.ckpt","0.00005","1h","0.4764364659786224","0.2878042872199368","0.288886437998603","0.3858443903587972"
"249769_1","2023-06-05T14:59:43.000Z","finished","1h, 2023-06-05","13000","13000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_050000.ckpt","0.00005","1h","0.8085222244262695","0.4483689185054227","0.43573765670379766","0.5630250451440685"
"249757_9","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/wav2vec2_base.ckpt","0.00005","10m","0.8962262868881226","0.40828672695746776","0.4117495680305871","0.5001570228468242"
"249757_8","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_400000.ckpt","0.00005","10m","0.9998677968978882","0.41041163771121614","0.4164552773795081","0.4992148857658789"
"249757_7","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_350000.ckpt","0.00005","10m","1.0277975797653198","0.42168216434909733","0.4228153376714091","0.5125029441783779"
"249757_6","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_300000.ckpt","0.00005","10m","1.0426506996154783","0.4321579743650767","0.432042939597809","0.517017351024574"
"249757_5","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_250000.ckpt","0.00005","10m","1.0778700113296509","0.4448309421004318","0.4452777471416492","0.5327785192745544"
"249757_4","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_200000.ckpt","0.00005","10m","1.123631477355957","0.46163898616258114","0.4614352413514209","0.5486378268037999"
"249757_3","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_150000.ckpt","0.00005","10m","1.2230639457702637","0.4867426818073641","0.4837505974045072","0.5790021198084321"
"249757_2","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_100000.ckpt","0.00005","10m","1.3130711317062378","0.5177982524733962","0.5155141355097239","0.6110151527047185"
"249757_10","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","","0.00005","10m","6.604272365570068","1.0068868357528984","0.9998897099371348","0.9998037214414698"
"249757_1","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_050000.ckpt","0.00005","10m","1.7123520374298096","0.6362152789582838","0.6204918936803794","0.7251903902017743"
"249757_0","2023-06-05T14:59:05.000Z","finished","10m, 2023-06-05","12000","12000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_010000.ckpt","0.00005","10m","5.532059669494629","1.0362956005847754","0.9969670232712032","0.9962707073879248"
"249723_7","2023-06-05T14:57:26.000Z","finished","2023-06-05, 960h","100000","100000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_350000.ckpt","0.0001","960h","0.09141672402620316","0.08331350083296502","0.07626557847137973","0.14824919525791003"
"249723_6","2023-06-05T14:57:26.000Z","finished","2023-06-05, 960h","100000","100000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_300000.ckpt","0.0001","960h","0.09423816204071044","0.08637549722911637","0.07950075364876291","0.15203737143754417"
"249723_4","2023-06-05T14:57:26.000Z","finished","2023-06-05, 960h","100000","100000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_200000.ckpt","0.0001","960h","0.10690981894731522","0.0978096419950362","0.08799308848939377","0.16746486613802308"
"249723_2","2023-06-05T14:57:26.000Z","finished","2023-06-05, 960h","100000","100000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_100000.ckpt","0.0001","960h","0.13032282888889313","0.12049731411280726","0.11063931473107606","0.20208840386276203"
"249723_0","2023-06-05T14:57:26.000Z","finished","2023-06-05, 960h","100000","100000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_010000.ckpt","0.0001","960h","0.36241936683654785","0.3272702546493047","0.2929487886474762","0.4620397267802465"
"249723_3","2023-06-05T14:57:25.000Z","finished","2023-06-05, 960h","100000","100000","/ceph/das-scratch/users/nvaessen/nanoW2V2/ckpt_nano/checkpoint_150000.ckpt","0.0001","960h","0.1175818294286728","0.10855319076598782","0.09738612551009154","0.18287273298264897"
