step,batch size,value
100,87.5 sec,0.8584393262863159
200,87.5 sec,0.858439564704895
300,87.5 sec,0.8584395051002502
400,87.5 sec,0.8584401607513428
500,87.5 sec,0.8584416508674622
600,87.5 sec,0.8584430813789368
700,87.5 sec,0.8584447503089905
800,87.5 sec,0.8584469556808472
900,87.5 sec,0.8584496378898621
1000,87.5 sec,0.8584524989128113
1100,87.5 sec,0.8584562540054321
1200,87.5 sec,0.8584594130516052
1300,87.5 sec,0.8584617972373962
1400,87.5 sec,0.8584652543067932
1500,87.5 sec,0.8584680557250977
1600,87.5 sec,0.8584706783294678
1700,87.5 sec,0.8584729433059692
1800,87.5 sec,0.858475387096405
1900,87.5 sec,0.8584781885147095
2000,87.5 sec,0.8584803342819214
2100,87.5 sec,0.8584824204444885
2200,87.5 sec,0.8584848046302795
2300,87.5 sec,0.8584886789321899
2400,87.5 sec,0.8584913015365601
2500,87.5 sec,0.858493447303772
2600,87.5 sec,0.8584945201873779
2700,87.5 sec,0.8584965467453003
2800,87.5 sec,0.8584983348846436
2900,87.5 sec,0.8585009574890137
3000,87.5 sec,0.8585046529769897
3100,87.5 sec,0.8585050702095032
3200,87.5 sec,0.8585070371627808
3300,87.5 sec,0.858507513999939
3400,87.5 sec,0.8585076928138733
3500,87.5 sec,0.8585079908370972
3600,87.5 sec,0.8585101366043091
3700,87.5 sec,0.8585114479064941
3800,87.5 sec,0.8585129976272583
3900,87.5 sec,0.8585150837898254
4000,87.5 sec,0.858513355255127
4100,87.5 sec,0.8585150241851807
4200,87.5 sec,0.858514666557312
4300,87.5 sec,0.8585169315338135
4400,87.5 sec,0.8585168719291687
4500,87.5 sec,0.8585153818130493
4600,87.5 sec,0.8585134744644165
4700,87.5 sec,0.8585163950920105
4800,87.5 sec,0.8585199117660522
4900,87.5 sec,0.8585209250450134
5000,87.5 sec,0.8585200309753418
5100,87.5 sec,0.8585213422775269
5200,87.5 sec,0.8585227727890015
5300,87.5 sec,0.8585240244865417
5400,87.5 sec,0.8585240840911865
5500,87.5 sec,0.858526349067688
5600,87.5 sec,0.8585282564163208
5700,87.5 sec,0.8585253357887268
5800,87.5 sec,0.858527660369873
5900,87.5 sec,0.858527660369873
6000,87.5 sec,0.8585258722305298
6100,87.5 sec,0.8585267066955566
6200,87.5 sec,0.8585288524627686
6300,87.5 sec,0.8585303425788879
6400,87.5 sec,0.8585335612297058
6500,87.5 sec,0.8585366606712341
6600,87.5 sec,0.8585374355316162
6700,87.5 sec,0.8585336208343506
6800,87.5 sec,0.8585320711135864
6900,87.5 sec,0.8585294485092163
7000,87.5 sec,0.8585280179977417
7100,87.5 sec,0.8585258722305298
7200,87.5 sec,0.8585237264633179
7300,87.5 sec,0.8585237264633179
7400,87.5 sec,0.858528733253479
7500,87.5 sec,0.8585246801376343
7600,87.5 sec,0.8585240840911865
7700,87.5 sec,0.8585226535797119
7800,87.5 sec,0.8585253953933716
7900,87.5 sec,0.8585286140441895
8000,87.5 sec,0.8585332036018372
8100,87.5 sec,0.8585332632064819
8200,87.5 sec,0.8585367202758789
8300,87.5 sec,0.8585394024848938
8400,87.5 sec,0.8585392832756042
8500,87.5 sec,0.8585418462753296
8600,87.5 sec,0.8585421442985535
8700,87.5 sec,0.8585469722747803
8800,87.5 sec,0.858546257019043
8900,87.5 sec,0.8585455417633057
9000,87.5 sec,0.8585463762283325
9100,87.5 sec,0.8585466146469116
9200,87.5 sec,0.8585513830184937
9300,87.5 sec,0.8585468530654907
9400,87.5 sec,0.8585472106933594
9500,87.5 sec,0.8585466146469116
9600,87.5 sec,0.8585400581359863
9700,87.5 sec,0.858536958694458
9800,87.5 sec,0.8585349321365356
9900,87.5 sec,0.8585314750671387
10000,87.5 sec,0.8585247993469238
10100,87.5 sec,0.8585255146026611
10200,87.5 sec,0.8585256934165955
10300,87.5 sec,0.8585225343704224
10400,87.5 sec,0.8585198521614075
10500,87.5 sec,0.8585151433944702
10600,87.5 sec,0.8585165739059448
10700,87.5 sec,0.858512282371521
10800,87.5 sec,0.858513355255127
10900,87.5 sec,0.8585124015808105
11000,87.5 sec,0.858513593673706
11100,87.5 sec,0.8585174679756165
11200,87.5 sec,0.8585116863250732
11300,87.5 sec,0.8585137128829956
11400,87.5 sec,0.8585148453712463
11500,87.5 sec,0.8585165739059448
11600,87.5 sec,0.8585189580917358
11700,87.5 sec,0.8585237264633179
11800,87.5 sec,0.8585197925567627
11900,87.5 sec,0.858526349067688
12000,87.5 sec,0.8585310578346252
12100,87.5 sec,0.8585352897644043
12200,87.5 sec,0.8585453033447266
12300,87.5 sec,0.8585476875305176
12400,87.5 sec,0.8585510849952698
12500,87.5 sec,0.8585468530654907
12600,87.5 sec,0.8585500717163086
12700,87.5 sec,0.8585498332977295
12800,87.5 sec,0.858548641204834
12900,87.5 sec,0.8585511445999146
13000,87.5 sec,0.8585464954376221
13100,87.5 sec,0.8585498332977295
13200,87.5 sec,0.8585516214370728
