step,batch size,value
100,87.5 sec,0.632703959941864
200,87.5 sec,0.6327042579650879
300,87.5 sec,0.6327046751976013
400,87.5 sec,0.6327056884765625
500,87.5 sec,0.632705807685852
600,87.5 sec,0.632705807685852
700,87.5 sec,0.6327066421508789
800,87.5 sec,0.6327072381973267
900,87.5 sec,0.6327089667320251
1000,87.5 sec,0.6327096223831177
1100,87.5 sec,0.6327098608016968
1200,87.5 sec,0.6327111124992371
1300,87.5 sec,0.6327118873596191
1400,87.5 sec,0.6327129602432251
1500,87.5 sec,0.6327148079872131
1600,87.5 sec,0.6327141523361206
1700,87.5 sec,0.6327148675918579
1800,87.5 sec,0.6327158212661743
1900,87.5 sec,0.632715106010437
2000,87.5 sec,0.6327160596847534
2100,87.5 sec,0.6327183246612549
2200,87.5 sec,0.6327195167541504
2300,87.5 sec,0.6327199935913086
2400,87.5 sec,0.6327197551727295
2500,87.5 sec,0.6327208280563354
2600,87.5 sec,0.6327229142189026
2700,87.5 sec,0.6327229142189026
2800,87.5 sec,0.6327236890792847
2900,87.5 sec,0.6327273845672607
3000,87.5 sec,0.6327275037765503
3100,87.5 sec,0.6327316761016846
3200,87.5 sec,0.6327324509620667
3300,87.5 sec,0.6327333450317383
3400,87.5 sec,0.632735013961792
3500,87.5 sec,0.6327395439147949
3600,87.5 sec,0.6327412724494934
3700,87.5 sec,0.632740318775177
3800,87.5 sec,0.632738471031189
3900,87.5 sec,0.6327405571937561
4000,87.5 sec,0.632742166519165
4100,87.5 sec,0.6327433586120605
4200,87.5 sec,0.6327430009841919
4300,87.5 sec,0.6327470541000366
4400,87.5 sec,0.6327482461929321
4500,87.5 sec,0.6327486038208008
4600,87.5 sec,0.6327518224716187
4700,87.5 sec,0.6327577829360962
4800,87.5 sec,0.6327575445175171
4900,87.5 sec,0.6327587366104126
5000,87.5 sec,0.6327577829360962
5100,87.5 sec,0.6327632069587708
5200,87.5 sec,0.63276606798172
5300,87.5 sec,0.6327677965164185
5400,87.5 sec,0.6327639818191528
5500,87.5 sec,0.6327664852142334
5600,87.5 sec,0.6327664852142334
5700,87.5 sec,0.6327689290046692
5800,87.5 sec,0.6327692270278931
5900,87.5 sec,0.6327701807022095
6000,87.5 sec,0.6327728033065796
6100,87.5 sec,0.6327722072601318
6200,87.5 sec,0.6327749490737915
6300,87.5 sec,0.6327717304229736
6400,87.5 sec,0.6327784657478333
6500,87.5 sec,0.6327832937240601
6600,87.5 sec,0.6327847838401794
6700,87.5 sec,0.6327842473983765
6800,87.5 sec,0.6327879428863525
6900,87.5 sec,0.6327861547470093
7000,87.5 sec,0.6327875852584839
7100,87.5 sec,0.6327882409095764
7200,87.5 sec,0.6327883005142212
7300,87.5 sec,0.6327870488166809
7400,87.5 sec,0.6327796578407288
7500,87.5 sec,0.6327803134918213
7600,87.5 sec,0.6327800154685974
7700,87.5 sec,0.6327865719795227
7800,87.5 sec,0.6327903270721436
7900,87.5 sec,0.6327908039093018
8000,87.5 sec,0.6327915191650391
8100,87.5 sec,0.6327878832817078
8200,87.5 sec,0.6327911615371704
8300,87.5 sec,0.632793664932251
8400,87.5 sec,0.6327923536300659
8500,87.5 sec,0.632796049118042
8600,87.5 sec,0.6328043937683105
8700,87.5 sec,0.6328120231628418
8800,87.5 sec,0.6328141689300537
8900,87.5 sec,0.6328171491622925
9000,87.5 sec,0.6328285932540894
9100,87.5 sec,0.63283371925354
9200,87.5 sec,0.6328370571136475
9300,87.5 sec,0.6328296661376953
9400,87.5 sec,0.6328296661376953
9500,87.5 sec,0.6328242421150208
9600,87.5 sec,0.6328244805335999
9700,87.5 sec,0.6328129172325134
9800,87.5 sec,0.6328026056289673
9900,87.5 sec,0.6327941417694092
10000,87.5 sec,0.6327852010726929
10100,87.5 sec,0.6327782273292542
10200,87.5 sec,0.632759153842926
10300,87.5 sec,0.6327569484710693
10400,87.5 sec,0.6327568292617798
