step,batch size,value
100,87.5 sec,0.012134131044149399
200,87.5 sec,0.011862383224070072
300,87.5 sec,0.01163599081337452
400,87.5 sec,0.011715210042893887
500,87.5 sec,0.012128065340220928
600,87.5 sec,0.011882675811648369
700,87.5 sec,0.012027733959257603
800,87.5 sec,0.011953942477703094
900,87.5 sec,0.011974540539085865
1000,87.5 sec,0.011679829098284245
1100,87.5 sec,0.011878847144544125
1200,87.5 sec,0.01210714876651764
1300,87.5 sec,0.01188149955123663
1400,87.5 sec,0.012055874802172184
1500,87.5 sec,0.011874901130795479
1600,87.5 sec,0.01135905273258686
1700,87.5 sec,0.011692585423588753
1800,87.5 sec,0.012401214800775051
1900,87.5 sec,0.01209771353751421
2000,87.5 sec,0.011926182545721531
2100,87.5 sec,0.01219998486340046
2200,87.5 sec,0.011934494599699974
2300,87.5 sec,0.012096049264073372
2400,87.5 sec,0.012045885436236858
2500,87.5 sec,0.011828250251710415
2600,87.5 sec,0.011569094844162464
2700,87.5 sec,0.011883283965289593
2800,87.5 sec,0.011664164252579212
2900,87.5 sec,0.011184674687683582
3000,87.5 sec,0.01185852661728859
3100,87.5 sec,0.011699668131768703
3200,87.5 sec,0.011681429110467434
3300,87.5 sec,0.012297295965254307
3400,87.5 sec,0.012456742115318775
3500,87.5 sec,0.012248924933373928
3600,87.5 sec,0.012242685072124004
3700,87.5 sec,0.012732216157019138
3800,87.5 sec,0.012905963696539402
3900,87.5 sec,0.012594413943588734
4000,87.5 sec,0.012697262689471245
4100,87.5 sec,0.012222407385706902
4200,87.5 sec,0.012359731830656528
4300,87.5 sec,0.012736931443214417
4400,87.5 sec,0.012693747878074646
4500,87.5 sec,0.012546312995254993
4600,87.5 sec,0.012929774820804596
4700,87.5 sec,0.012642412446439266
4800,87.5 sec,0.012397374957799911
4900,87.5 sec,0.012942422181367874
5000,87.5 sec,0.012701217085123062
5100,87.5 sec,0.012403867207467556
5200,87.5 sec,0.012537676841020584
5300,87.5 sec,0.012241198681294918
5400,87.5 sec,0.012553083710372448
5500,87.5 sec,0.012193962931632996
5600,87.5 sec,0.011938786134123802
5700,87.5 sec,0.01237109862267971
5800,87.5 sec,0.012477223761379719
5900,87.5 sec,0.011926871724426746
6000,87.5 sec,0.011865020729601383
6100,87.5 sec,0.011970513500273228
6200,87.5 sec,0.011981697753071785
6300,87.5 sec,0.011972839944064617
6400,87.5 sec,0.011859825812280178
6500,87.5 sec,0.011610467918217182
6600,87.5 sec,0.011634103953838348
6700,87.5 sec,0.01194367278367281
6800,87.5 sec,0.011971584521234035
6900,87.5 sec,0.011508348397910595
7000,87.5 sec,0.011966275051236153
7100,87.5 sec,0.011881177313625813
7200,87.5 sec,0.011827670969069004
7300,87.5 sec,0.011807824485003948
7400,87.5 sec,0.011992085725069046
7500,87.5 sec,0.011640486307442188
7600,87.5 sec,0.011800583451986313
7700,87.5 sec,0.011400938965380192
7800,87.5 sec,0.012257624417543411
7900,87.5 sec,0.011683780699968338
8000,87.5 sec,0.012066134251654148
8100,87.5 sec,0.012066207826137543
8200,87.5 sec,0.011675857938826084
8300,87.5 sec,0.011402521282434464
8400,87.5 sec,0.012335442937910557
8500,87.5 sec,0.011976906098425388
8600,87.5 sec,0.012343917042016983
8700,87.5 sec,0.012844964861869812
8800,87.5 sec,0.013682609423995018
8900,87.5 sec,0.014392544515430927
9000,87.5 sec,0.01723892241716385
9100,87.5 sec,0.020991619676351547
9200,87.5 sec,0.025872554630041122
9300,87.5 sec,0.03184669837355614
9400,87.5 sec,0.03412139043211937
9500,87.5 sec,0.04196622222661972
9600,87.5 sec,0.049894291907548904
9700,87.5 sec,0.05320753529667854
9800,87.5 sec,0.06364451348781586
9900,87.5 sec,0.08272238075733185
10000,87.5 sec,0.08957118541002274
10100,87.5 sec,0.09011349081993103
10200,87.5 sec,0.09446997940540314
10300,87.5 sec,0.09561702609062195
10400,87.5 sec,0.09435886144638062
10500,87.5 sec,0.0965682864189148
10600,87.5 sec,0.10020416229963303
10700,87.5 sec,0.09883218258619308
10800,87.5 sec,0.09512298554182053
10900,87.5 sec,0.10131487995386124
11000,87.5 sec,0.0989716649055481
11100,87.5 sec,0.09688141196966171
11200,87.5 sec,0.09618235379457474
11300,87.5 sec,0.09885650128126144
11400,87.5 sec,0.10295747965574265
11500,87.5 sec,0.10107945650815964
11600,87.5 sec,0.10074756294488907
11700,87.5 sec,0.10266635566949844
11800,87.5 sec,0.10120125114917755
11900,87.5 sec,0.1043873205780983
12000,87.5 sec,0.09949574619531631
12100,87.5 sec,0.09881389886140823
12200,87.5 sec,0.09914852678775787
12300,87.5 sec,0.09758998453617096
12400,87.5 sec,0.09798229485750198
12500,87.5 sec,0.09780675172805786
12600,87.5 sec,0.09734591096639633
12700,87.5 sec,0.09692800045013428
12800,87.5 sec,0.09685110300779343
12900,87.5 sec,0.09705594927072525
13000,87.5 sec,0.09757910668849945
13100,87.5 sec,0.10189009457826614
13200,87.5 sec,0.09783380478620529
13300,87.5 sec,0.09849309176206589
13400,87.5 sec,0.09669864922761917
13500,87.5 sec,0.09671081602573395
13600,87.5 sec,0.09604904055595398
13700,87.5 sec,0.094535231590271
13800,87.5 sec,0.09908793121576309
13900,87.5 sec,0.10051796585321426
14000,87.5 sec,0.10141235589981079
14100,87.5 sec,0.10043922066688538
14200,87.5 sec,0.10202717036008835
14300,87.5 sec,0.10276457667350769
14400,87.5 sec,0.10196177661418915
14500,87.5 sec,0.10235761106014252
14600,87.5 sec,0.1043841689825058
14700,87.5 sec,0.10383892059326172
14800,87.5 sec,0.10282811522483826
14900,87.5 sec,0.10519764572381973
15000,87.5 sec,0.10271718353033066
15100,87.5 sec,0.10203632712364197
15200,87.5 sec,0.1005113422870636
15300,87.5 sec,0.10343258827924728
15400,87.5 sec,0.10499756038188934
15500,87.5 sec,0.10408313572406769
15600,87.5 sec,0.1051340326666832
15700,87.5 sec,0.10484916716814041
15800,87.5 sec,0.10717861354351044
15900,87.5 sec,0.10863376408815384
16000,87.5 sec,0.10821793973445892
16100,87.5 sec,0.10923053324222565
16200,87.5 sec,0.10834073275327682
16300,87.5 sec,0.10850455611944199
16400,87.5 sec,0.10864570736885071
16500,87.5 sec,0.11068090796470642
16600,87.5 sec,0.10760383307933807
16700,87.5 sec,0.10919654369354248
16800,87.5 sec,0.10684390366077423
16900,87.5 sec,0.10999290645122528
17000,87.5 sec,0.10933097451925278
17100,87.5 sec,0.10703433305025101
17200,87.5 sec,0.11018754541873932
17300,87.5 sec,0.11022718995809555
17400,87.5 sec,0.10812479257583618
17500,87.5 sec,0.1083836778998375
17600,87.5 sec,0.10721614956855774
17700,87.5 sec,0.11080361157655716
17800,87.5 sec,0.11140501499176025
17900,87.5 sec,0.10967996716499329
18000,87.5 sec,0.1096983402967453
18100,87.5 sec,0.10859739035367966
18200,87.5 sec,0.10789311677217484
18300,87.5 sec,0.10988673567771912
18400,87.5 sec,0.108889140188694
18500,87.5 sec,0.10837074369192123
18600,87.5 sec,0.10838194191455841
18700,87.5 sec,0.10802153497934341
18800,87.5 sec,0.10985589027404785
18900,87.5 sec,0.10543043166399002
19000,87.5 sec,0.10593801736831665
19100,87.5 sec,0.10442326217889786
19200,87.5 sec,0.10537023097276688
19300,87.5 sec,0.10816197097301483
19400,87.5 sec,0.10780656337738037
19500,87.5 sec,0.10521315783262253
19600,87.5 sec,0.11006923764944077
19700,87.5 sec,0.10797702521085739
19800,87.5 sec,0.1145232543349266
19900,87.5 sec,0.11541065573692322
20000,87.5 sec,0.11527881026268005
20100,87.5 sec,0.11310967057943344
20200,87.5 sec,0.11690563708543777
20300,87.5 sec,0.11366385966539383
20400,87.5 sec,0.11523420363664627
20500,87.5 sec,0.11355456709861755
20600,87.5 sec,0.11171821504831314
20700,87.5 sec,0.11346950381994247
20800,87.5 sec,0.11145259439945221
20900,87.5 sec,0.11521165072917938
21000,87.5 sec,0.11187798529863358
21100,87.5 sec,0.11547746509313583
21200,87.5 sec,0.11394164711236954
21300,87.5 sec,0.11321070045232773
21400,87.5 sec,0.1131654754281044
21500,87.5 sec,0.1132066547870636
21600,87.5 sec,0.11137234419584274
21700,87.5 sec,0.11198271065950394
21800,87.5 sec,0.11233276128768921
21900,87.5 sec,0.11361058056354523
22000,87.5 sec,0.11183103919029236
22100,87.5 sec,0.11100733280181885
22200,87.5 sec,0.11016801744699478
22300,87.5 sec,0.10737092792987823
22400,87.5 sec,0.10706962645053864
22500,87.5 sec,0.10941906273365021
22600,87.5 sec,0.11153167486190796
22700,87.5 sec,0.10905317217111588
22800,87.5 sec,0.10949219018220901
22900,87.5 sec,0.10915806144475937
23000,87.5 sec,0.10825437307357788
23100,87.5 sec,0.1078021302819252
23200,87.5 sec,0.10757990181446075
23300,87.5 sec,0.10741323232650757
23400,87.5 sec,0.10524918884038925
23500,87.5 sec,0.10799592733383179
23600,87.5 sec,0.10720726102590561
23700,87.5 sec,0.1056060865521431
23800,87.5 sec,0.10801338404417038
23900,87.5 sec,0.10772992670536041
24000,87.5 sec,0.10664961487054825
24100,87.5 sec,0.10742613673210144
24200,87.5 sec,0.10795580595731735
24300,87.5 sec,0.10945959389209747
24400,87.5 sec,0.10532302409410477
24500,87.5 sec,0.10946471989154816
24600,87.5 sec,0.10741966962814331
24700,87.5 sec,0.10873590409755707
24800,87.5 sec,0.10975251346826553
24900,87.5 sec,0.10752663761377335
25000,87.5 sec,0.10998095571994781
25100,87.5 sec,0.1076926589012146
25200,87.5 sec,0.10955105721950531
25300,87.5 sec,0.1094423159956932
25400,87.5 sec,0.10906212031841278
25500,87.5 sec,0.1121976226568222
25600,87.5 sec,0.11142891645431519
25700,87.5 sec,0.1109972819685936
25800,87.5 sec,0.11257632076740265
25900,87.5 sec,0.11407242715358734
26000,87.5 sec,0.11315015703439713
26100,87.5 sec,0.1153014674782753
26200,87.5 sec,0.11457966268062592
26300,87.5 sec,0.11493302881717682
26400,87.5 sec,0.11351093649864197
26500,87.5 sec,0.11466584354639053
26600,87.5 sec,0.1150147020816803
26700,87.5 sec,0.11533211916685104
26800,87.5 sec,0.11484408378601074
26900,87.5 sec,0.11729302257299423
27000,87.5 sec,0.1141970306634903
27100,87.5 sec,0.11372717469930649
27200,87.5 sec,0.11681689321994781
27300,87.5 sec,0.11558862775564194
27400,87.5 sec,0.11543281376361847
27500,87.5 sec,0.11493382602930069
27600,87.5 sec,0.11366485059261322
27700,87.5 sec,0.11455760151147842
27800,87.5 sec,0.1161237433552742
27900,87.5 sec,0.11623521894216537
28000,87.5 sec,0.11711753904819489
28100,87.5 sec,0.11630091816186905
28200,87.5 sec,0.11609064787626266
28300,87.5 sec,0.11962428689002991
28400,87.5 sec,0.12211476266384125
28500,87.5 sec,0.1257515251636505
28600,87.5 sec,0.1253976821899414
28700,87.5 sec,0.12426864355802536
28800,87.5 sec,0.12402583658695221
28900,87.5 sec,0.12182188034057617
29000,87.5 sec,0.11688263714313507
29100,87.5 sec,0.12045858800411224
29200,87.5 sec,0.11620989441871643
29300,87.5 sec,0.11759785562753677
29400,87.5 sec,0.11699733138084412
