step,batch size,value
100,87.5 sec,8453.2734375
200,87.5 sec,8411.263671875
300,87.5 sec,8410.6171875
400,87.5 sec,8441.45703125
500,87.5 sec,8359.494140625
600,87.5 sec,8014.64794921875
700,87.5 sec,7881.13916015625
800,87.5 sec,7900.162109375
900,87.5 sec,7903.97265625
1000,87.5 sec,7926.6806640625
1100,87.5 sec,7904.99951171875
1200,87.5 sec,7872.9033203125
1300,87.5 sec,7927.15576171875
1400,87.5 sec,7903.1923828125
1500,87.5 sec,7905.29052734375
1600,87.5 sec,7904.79052734375
1700,87.5 sec,7974.7529296875
1800,87.5 sec,7938.61572265625
1900,87.5 sec,7934.4375
2000,87.5 sec,8008.765625
2100,87.5 sec,7990.86181640625
2200,87.5 sec,7931.76513671875
2300,87.5 sec,7962.49609375
2400,87.5 sec,7956.30615234375
2500,87.5 sec,7965.4189453125
2600,87.5 sec,7939.72509765625
2700,87.5 sec,7981.43505859375
2800,87.5 sec,7992.18115234375
2900,87.5 sec,7988.14697265625
3000,87.5 sec,8020.01416015625
3100,87.5 sec,7962.60302734375
3200,87.5 sec,7418.013671875
3300,87.5 sec,6745.55078125
3400,87.5 sec,6558.89794921875
3500,87.5 sec,6639.38134765625
3600,87.5 sec,7060.3388671875
3700,87.5 sec,7479.673828125
3800,87.5 sec,7825.107421875
3900,87.5 sec,7893.88427734375
4000,87.5 sec,7895.400390625
4100,87.5 sec,8017.0966796875
4200,87.5 sec,8021.3212890625
4300,87.5 sec,8098.68505859375
4400,87.5 sec,8002.62646484375
4500,87.5 sec,7989.93896484375
4600,87.5 sec,8045.62255859375
4700,87.5 sec,8082.505859375
4800,87.5 sec,8115.68896484375
4900,87.5 sec,8098.0625
5000,87.5 sec,8037.9619140625
5100,87.5 sec,7836.6982421875
5200,87.5 sec,7573.0439453125
5300,87.5 sec,7835.68359375
5400,87.5 sec,7894.69189453125
5500,87.5 sec,7764.49755859375
5600,87.5 sec,7826.123046875
5700,87.5 sec,7996.3369140625
5800,87.5 sec,7972.8232421875
5900,87.5 sec,7946.267578125
6000,87.5 sec,8026.755859375
6100,87.5 sec,8083.12939453125
6200,87.5 sec,8113.93115234375
6300,87.5 sec,8177.68603515625
6400,87.5 sec,8174.1982421875
6500,87.5 sec,8210.7158203125
6600,87.5 sec,8221.74609375
6700,87.5 sec,8282.91015625
6800,87.5 sec,8290.3759765625
6900,87.5 sec,8311.4775390625
7000,87.5 sec,8336.61328125
7100,87.5 sec,8357.302734375
7200,87.5 sec,8332.685546875
7300,87.5 sec,8342.95703125
7400,87.5 sec,8368.3759765625
7500,87.5 sec,8355.68359375
7600,87.5 sec,8347.94921875
7700,87.5 sec,8373.6279296875
7800,87.5 sec,8386.462890625
7900,87.5 sec,8407.693359375
8000,87.5 sec,8424.0546875
8100,87.5 sec,8389.6455078125
8200,87.5 sec,8421.314453125
8300,87.5 sec,8396.7158203125
8400,87.5 sec,8232.6845703125
8500,87.5 sec,8044.02490234375
8600,87.5 sec,8077.47998046875
8700,87.5 sec,7930.5966796875
8800,87.5 sec,8002.53271484375
8900,87.5 sec,8006.99169921875
9000,87.5 sec,8063.76953125
9100,87.5 sec,8090.84326171875
9200,87.5 sec,8085.30859375
9300,87.5 sec,8036.4619140625
9400,87.5 sec,8027.1455078125
9500,87.5 sec,8034.94482421875
9600,87.5 sec,8025.30615234375
9700,87.5 sec,7988.2900390625
9800,87.5 sec,7767.67041015625
9900,87.5 sec,7458.02734375
10000,87.5 sec,7301.33935546875
10100,87.5 sec,7450.0419921875
10200,87.5 sec,7570.03076171875
10300,87.5 sec,7732.53173828125
10400,87.5 sec,7827.91357421875
10500,87.5 sec,7864.966796875
10600,87.5 sec,7805.03369140625
10700,87.5 sec,7909.39990234375
10800,87.5 sec,7890.1923828125
10900,87.5 sec,7814.01513671875
11000,87.5 sec,7436.42041015625
11100,87.5 sec,7371.67919921875
11200,87.5 sec,7352.80517578125
11300,87.5 sec,7368.873046875
11400,87.5 sec,7353.15771484375
