step,batch size,value
100,87.5 sec,8420.9228515625
200,87.5 sec,8379.916015625
300,87.5 sec,8380.5625
400,87.5 sec,8412.2646484375
500,87.5 sec,8331.927734375
600,87.5 sec,7988.71630859375
700,87.5 sec,7856.91015625
800,87.5 sec,7877.16259765625
900,87.5 sec,7882.41552734375
1000,87.5 sec,7906.42236328125
1100,87.5 sec,7886.07861328125
1200,87.5 sec,7854.884765625
1300,87.5 sec,7910.52197265625
1400,87.5 sec,7887.63232421875
1500,87.5 sec,7891.01513671875
1600,87.5 sec,7891.46484375
1700,87.5 sec,7962.41552734375
1800,87.5 sec,7927.22802734375
1900,87.5 sec,7923.93017578125
2000,87.5 sec,7998.92138671875
2100,87.5 sec,7982.2607421875
2200,87.5 sec,7923.78125
2300,87.5 sec,7955.2431640625
2400,87.5 sec,7949.67919921875
2500,87.5 sec,7959.4462890625
2600,87.5 sec,7934.35693359375
2700,87.5 sec,7976.63330078125
2800,87.5 sec,7987.9287109375
2900,87.5 sec,7984.23876953125
3000,87.5 sec,8016.56201171875
3100,87.5 sec,7959.47802734375
3200,87.5 sec,7415.05419921875
3300,87.5 sec,6742.52978515625
3400,87.5 sec,6556.07958984375
3500,87.5 sec,6636.97265625
3600,87.5 sec,7058.251953125
3700,87.5 sec,7477.91552734375
3800,87.5 sec,7823.59521484375
3900,87.5 sec,7892.54443359375
4000,87.5 sec,7894.14892578125
4100,87.5 sec,8015.96240234375
4200,87.5 sec,8020.25390625
4300,87.5 sec,8097.70703125
4400,87.5 sec,8001.68310546875
4500,87.5 sec,7989.06982421875
4600,87.5 sec,8044.810546875
4700,87.5 sec,8081.73876953125
4800,87.5 sec,8114.9638671875
4900,87.5 sec,8097.36865234375
5000,87.5 sec,8037.30810546875
5100,87.5 sec,7836.04736328125
5200,87.5 sec,7572.37353515625
5300,87.5 sec,7835.08544921875
5400,87.5 sec,7894.1220703125
5500,87.5 sec,7763.93115234375
5600,87.5 sec,7825.60009765625
5700,87.5 sec,7995.8525390625
5800,87.5 sec,7972.33984375
5900,87.5 sec,7945.80419921875
6000,87.5 sec,8026.31298828125
6100,87.5 sec,8082.70361328125
6200,87.5 sec,8113.517578125
6300,87.5 sec,8177.27978515625
6400,87.5 sec,8173.7998046875
6500,87.5 sec,8210.3330078125
6600,87.5 sec,8221.365234375
6700,87.5 sec,8282.556640625
6800,87.5 sec,8290.017578125
6900,87.5 sec,8311.134765625
7000,87.5 sec,8336.2783203125
7100,87.5 sec,8356.9765625
7200,87.5 sec,8332.3564453125
7300,87.5 sec,8342.6357421875
7400,87.5 sec,8368.06640625
7500,87.5 sec,8355.375
7600,87.5 sec,8347.64453125
7700,87.5 sec,8373.333984375
7800,87.5 sec,8386.1669921875
7900,87.5 sec,8407.4072265625
8000,87.5 sec,8423.7763671875
8100,87.5 sec,8389.3671875
8200,87.5 sec,8421.029296875
8300,87.5 sec,8396.427734375
8400,87.5 sec,8232.388671875
8500,87.5 sec,8043.71875
8600,87.5 sec,8077.14111328125
8700,87.5 sec,7930.171875
8800,87.5 sec,8001.40869140625
8900,87.5 sec,8002.76513671875
9000,87.5 sec,8053.193359375
9100,87.5 sec,8074.18359375
9200,87.5 sec,8063.14111328125
9300,87.5 sec,8010.05615234375
9400,87.5 sec,7996.56201171875
9500,87.5 sec,7999.18701171875
9600,87.5 sec,7985.228515625
9700,87.5 sec,7945.10009765625
9800,87.5 sec,7722.095703125
9900,87.5 sec,7411.3232421875
10000,87.5 sec,7253.2744140625
10100,87.5 sec,7401.43798828125
10200,87.5 sec,7520.65673828125
10300,87.5 sec,7682.35693359375
10400,87.5 sec,7777.15673828125
10500,87.5 sec,7813.69921875
10600,87.5 sec,7753.0576171875
10700,87.5 sec,7856.87939453125
10800,87.5 sec,7837.59375
10900,87.5 sec,7760.75830078125
11000,87.5 sec,7382.759765625
11100,87.5 sec,7317.78076171875
11200,87.5 sec,7299.00390625
11300,87.5 sec,7314.431640625
11400,87.5 sec,7298.40576171875
11500,87.5 sec,7291.3173828125
11600,87.5 sec,7345.9501953125
11700,87.5 sec,7352.45458984375
11800,87.5 sec,7353.2998046875
11900,87.5 sec,7182.79296875
12000,87.5 sec,7117.5576171875
12100,87.5 sec,7118.1376953125
12200,87.5 sec,7145.283203125
12300,87.5 sec,6748.8662109375
12400,87.5 sec,6527.72998046875
12500,87.5 sec,6989.56494140625
12600,87.5 sec,7306.189453125
12700,87.5 sec,7380.51513671875
12800,87.5 sec,7589.7939453125
12900,87.5 sec,7590.86328125
13000,87.5 sec,7399.9306640625
13100,87.5 sec,7342.6181640625
13200,87.5 sec,7441.39501953125
13300,87.5 sec,7276.93505859375
13400,87.5 sec,7337.09765625
13500,87.5 sec,7451.8818359375
13600,87.5 sec,7503.6982421875
13700,87.5 sec,7527.712890625
13800,87.5 sec,7494.158203125
13900,87.5 sec,7469.93798828125
14000,87.5 sec,7467.255859375
14100,87.5 sec,7482.83740234375
14200,87.5 sec,7504.7880859375
14300,87.5 sec,7506.08984375
14400,87.5 sec,7488.51318359375
14500,87.5 sec,7515.546875
14600,87.5 sec,7492.86328125
14700,87.5 sec,7522.83544921875
14800,87.5 sec,7382.884765625
14900,87.5 sec,7417.4287109375
15000,87.5 sec,7400.69482421875
15100,87.5 sec,7430.74365234375
15200,87.5 sec,7445.62353515625
15300,87.5 sec,7440.333984375
15400,87.5 sec,7454.26806640625
15500,87.5 sec,7434.4423828125
15600,87.5 sec,7435.00439453125
15700,87.5 sec,7455.86572265625
15800,87.5 sec,7199.119140625
15900,87.5 sec,6978.15625
16000,87.5 sec,6904.56005859375
16100,87.5 sec,6961.357421875
16200,87.5 sec,7026.28125
16300,87.5 sec,7031.43017578125
16400,87.5 sec,7067.03173828125
16500,87.5 sec,7070.2412109375
16600,87.5 sec,7079.22265625
16700,87.5 sec,7124.08544921875
16800,87.5 sec,7083.599609375
16900,87.5 sec,7056.3701171875
17000,87.5 sec,7057.06689453125
17100,87.5 sec,7107.814453125
17200,87.5 sec,7058.736328125
17300,87.5 sec,7065.033203125
17400,87.5 sec,7098.916015625
17500,87.5 sec,7130.97314453125
17600,87.5 sec,7113.9716796875
17700,87.5 sec,7120.57666015625
17800,87.5 sec,7083.20947265625
17900,87.5 sec,7081.109375
18000,87.5 sec,7087.025390625
18100,87.5 sec,7109.82666015625
18200,87.5 sec,6877.12939453125
18300,87.5 sec,6842.27392578125
18400,87.5 sec,6866.42919921875
18500,87.5 sec,6856.48046875
18600,87.5 sec,6850.4306640625
18700,87.5 sec,6867.18994140625
18800,87.5 sec,6860.77197265625
18900,87.5 sec,6888.12744140625
19000,87.5 sec,6876.44677734375
19100,87.5 sec,6931.8935546875
19200,87.5 sec,6946.6689453125
19300,87.5 sec,6932.6513671875
19400,87.5 sec,6971.39013671875
19500,87.5 sec,6982.591796875
19600,87.5 sec,6824.51806640625
19700,87.5 sec,6675.36669921875
19800,87.5 sec,5989.146484375
19900,87.5 sec,6505.7138671875
20000,87.5 sec,6844.625
20100,87.5 sec,6873.974609375
20200,87.5 sec,6834.59619140625
20300,87.5 sec,6885.048828125
20400,87.5 sec,6888.9111328125
20500,87.5 sec,6802.98193359375
20600,87.5 sec,6546.7001953125
20700,87.5 sec,6759.3076171875
20800,87.5 sec,6779.1650390625
20900,87.5 sec,6837.0380859375
21000,87.5 sec,6854.89208984375
21100,87.5 sec,6776.83544921875
21200,87.5 sec,6785.3779296875
21300,87.5 sec,6795.818359375
21400,87.5 sec,6807.638671875
21500,87.5 sec,6849.58056640625
21600,87.5 sec,6885.0849609375
21700,87.5 sec,6831.1923828125
21800,87.5 sec,6763.1474609375
21900,87.5 sec,6759.482421875
22000,87.5 sec,6738.52490234375
22100,87.5 sec,6290.49169921875
22200,87.5 sec,6288.08935546875
22300,87.5 sec,6514.224609375
22400,87.5 sec,6663.189453125
22500,87.5 sec,6765.1005859375
22600,87.5 sec,6789.64794921875
22700,87.5 sec,6830.8173828125
22800,87.5 sec,6839.85791015625
22900,87.5 sec,6897.50439453125
23000,87.5 sec,6918.89990234375
23100,87.5 sec,6904.15869140625
23200,87.5 sec,6923.13427734375
23300,87.5 sec,6961.693359375
23400,87.5 sec,6975.4599609375
23500,87.5 sec,6934.75732421875
23600,87.5 sec,6807.6181640625
23700,87.5 sec,6715.25439453125
23800,87.5 sec,6592.85498046875
23900,87.5 sec,6734.06396484375
24000,87.5 sec,6866.18505859375
24100,87.5 sec,6826.78076171875
24200,87.5 sec,6870.10009765625
24300,87.5 sec,6961.48193359375
24400,87.5 sec,6963.376953125
24500,87.5 sec,7008.4345703125
24600,87.5 sec,7045.984375
24700,87.5 sec,7051.392578125
24800,87.5 sec,7045.97021484375
24900,87.5 sec,7012.39990234375
25000,87.5 sec,7004.29296875
25100,87.5 sec,6992.23486328125
25200,87.5 sec,6952.54931640625
