step,batch size,value
100,87.5 sec,28.1650390625
200,87.5 sec,27.201244354248047
300,87.5 sec,25.990507125854492
400,87.5 sec,25.273487091064453
500,87.5 sec,23.74346351623535
600,87.5 sec,22.214130401611328
700,87.5 sec,20.630197525024414
800,87.5 sec,19.577434539794922
900,87.5 sec,18.305339813232422
1000,87.5 sec,17.18115997314453
1100,87.5 sec,16.011886596679688
1200,87.5 sec,15.302351951599121
1300,87.5 sec,14.0672025680542
1400,87.5 sec,13.174919128417969
1500,87.5 sec,12.044452667236328
1600,87.5 sec,11.273675918579102
1700,87.5 sec,10.451713562011719
1800,87.5 sec,9.636966705322266
1900,87.5 sec,8.9163236618042
2000,87.5 sec,8.413172721862793
2100,87.5 sec,7.24484920501709
2200,87.5 sec,6.752742767333984
2300,87.5 sec,6.126615524291992
2400,87.5 sec,5.59831428527832
2500,87.5 sec,5.038407325744629
2600,87.5 sec,4.511571884155273
2700,87.5 sec,4.011922836303711
2800,87.5 sec,3.5203824043273926
2900,87.5 sec,3.2496373653411865
3000,87.5 sec,2.855963945388794
3100,87.5 sec,2.563441276550293
3200,87.5 sec,2.419271469116211
3300,87.5 sec,2.494019031524658
3400,87.5 sec,2.328516721725464
3500,87.5 sec,1.9612953662872314
3600,87.5 sec,1.6771687269210815
3700,87.5 sec,1.3837717771530151
3800,87.5 sec,1.162166953086853
3900,87.5 sec,1.0127885341644287
4000,87.5 sec,0.9430555701255798
4100,87.5 sec,0.839579701423645
4200,87.5 sec,0.7863941788673401
4300,87.5 sec,0.7039740085601807
4400,87.5 sec,0.6833648681640625
4500,87.5 sec,0.6157239675521851
4600,87.5 sec,0.5755061507225037
4700,87.5 sec,0.5371170043945312
4800,87.5 sec,0.5064800977706909
4900,87.5 sec,0.47705531120300293
5000,87.5 sec,0.4488297700881958
5100,87.5 sec,0.45290496945381165
5200,87.5 sec,0.4723924994468689
5300,87.5 sec,0.41200023889541626
5400,87.5 sec,0.3892219066619873
5500,87.5 sec,0.38942408561706543
5600,87.5 sec,0.3560522794723511
5700,87.5 sec,0.3287678062915802
5800,87.5 sec,0.3275050222873688
5900,87.5 sec,0.31434041261672974
6000,87.5 sec,0.2941415309906006
6100,87.5 sec,0.2812473773956299
6200,87.5 sec,0.27761101722717285
6300,87.5 sec,0.2676793038845062
6400,87.5 sec,0.2640606462955475
6500,87.5 sec,0.2528167963027954
6600,87.5 sec,0.24949300289154053
6700,87.5 sec,0.23361308872699738
6800,87.5 sec,0.2374282032251358
6900,87.5 sec,0.22595256567001343
7000,87.5 sec,0.2240728884935379
7100,87.5 sec,0.21800294518470764
7200,87.5 sec,0.21592725813388824
7300,87.5 sec,0.21037782728672028
7400,87.5 sec,0.20392215251922607
7500,87.5 sec,0.20228728652000427
7600,87.5 sec,0.20159021019935608
7700,87.5 sec,0.19649451971054077
7800,87.5 sec,0.19518443942070007
7900,87.5 sec,0.19150716066360474
8000,87.5 sec,0.18513834476470947
8100,87.5 sec,0.18556492030620575
8200,87.5 sec,0.19181980192661285
8300,87.5 sec,0.19525927305221558
8400,87.5 sec,0.20390823483467102
8500,87.5 sec,0.2114739567041397
8600,87.5 sec,0.24051973223686218
8700,87.5 sec,0.32039952278137207
8800,87.5 sec,0.9920629262924194
8900,87.5 sec,4.033421516418457
9000,87.5 sec,10.284514427185059
9100,87.5 sec,16.241453170776367
9200,87.5 sec,21.624134063720703
9300,87.5 sec,25.697595596313477
9400,87.5 sec,29.665660858154297
9500,87.5 sec,34.5065803527832
9600,87.5 sec,38.43736267089844
9700,87.5 sec,41.14495086669922
9800,87.5 sec,43.129817962646484
9900,87.5 sec,44.00486373901367
10000,87.5 sec,45.121604919433594
10100,87.5 sec,45.581809997558594
10200,87.5 sec,46.28432083129883
10300,87.5 sec,47.012245178222656
10400,87.5 sec,47.486900329589844
10500,87.5 sec,47.97658157348633
10600,87.5 sec,48.657630920410156
10700,87.5 sec,49.27537536621094
10800,87.5 sec,49.36683654785156
10900,87.5 sec,49.909542083740234
11000,87.5 sec,50.42243194580078
11100,87.5 sec,50.7896614074707
11200,87.5 sec,50.73942947387695
11300,87.5 sec,51.38804626464844
11400,87.5 sec,51.73533630371094
11500,87.5 sec,51.93217849731445
11600,87.5 sec,52.134429931640625
11700,87.5 sec,52.221397399902344
11800,87.5 sec,52.435211181640625
11900,87.5 sec,52.3381233215332
12000,87.5 sec,52.452415466308594
12100,87.5 sec,52.54549789428711
12200,87.5 sec,52.48271560668945
12300,87.5 sec,52.712158203125
12400,87.5 sec,52.488651275634766
12500,87.5 sec,52.524681091308594
12600,87.5 sec,52.03140640258789
12700,87.5 sec,52.194549560546875
12800,87.5 sec,52.45066833496094
12900,87.5 sec,52.25453567504883
13000,87.5 sec,52.422210693359375
13100,87.5 sec,52.692569732666016
13200,87.5 sec,52.26369094848633
13300,87.5 sec,52.770172119140625
13400,87.5 sec,52.775428771972656
13500,87.5 sec,52.329429626464844
13600,87.5 sec,52.715389251708984
13700,87.5 sec,52.81108856201172
13800,87.5 sec,52.70878601074219
13900,87.5 sec,52.794918060302734
14000,87.5 sec,52.70256805419922
14100,87.5 sec,53.07218933105469
14200,87.5 sec,53.109310150146484
14300,87.5 sec,53.203609466552734
14400,87.5 sec,53.42332077026367
14500,87.5 sec,53.51792907714844
14600,87.5 sec,53.49169921875
14700,87.5 sec,53.66291427612305
14800,87.5 sec,53.49917984008789
14900,87.5 sec,53.48244094848633
15000,87.5 sec,53.54106521606445
15100,87.5 sec,53.72237777709961
15200,87.5 sec,53.923675537109375
15300,87.5 sec,54.006187438964844
15400,87.5 sec,54.102962493896484
15500,87.5 sec,54.29978561401367
15600,87.5 sec,54.4600944519043
15700,87.5 sec,54.11576843261719
15800,87.5 sec,54.51634216308594
15900,87.5 sec,54.600826263427734
16000,87.5 sec,54.60791015625
16100,87.5 sec,54.670814514160156
16200,87.5 sec,54.8449821472168
16300,87.5 sec,54.637081146240234
16400,87.5 sec,54.7900276184082
16500,87.5 sec,54.818626403808594
16600,87.5 sec,54.82732391357422
16700,87.5 sec,54.898948669433594
16800,87.5 sec,54.59537124633789
16900,87.5 sec,54.75701141357422
17000,87.5 sec,54.84086608886719
17100,87.5 sec,54.89387130737305
17200,87.5 sec,55.016685485839844
17300,87.5 sec,55.037330627441406
17400,87.5 sec,54.748207092285156
17500,87.5 sec,54.752662658691406
17600,87.5 sec,54.9017219543457
17700,87.5 sec,54.772647857666016
17800,87.5 sec,54.480464935302734
17900,87.5 sec,54.613895416259766
18000,87.5 sec,54.711978912353516
18100,87.5 sec,54.576988220214844
18200,87.5 sec,54.60682678222656
18300,87.5 sec,54.632774353027344
18400,87.5 sec,54.681739807128906
18500,87.5 sec,54.70225524902344
18600,87.5 sec,54.624454498291016
18700,87.5 sec,54.56727981567383
18800,87.5 sec,54.4533805847168
18900,87.5 sec,54.446617126464844
19000,87.5 sec,54.519004821777344
19100,87.5 sec,54.32612228393555
19200,87.5 sec,54.21527862548828
19300,87.5 sec,54.349891662597656
19400,87.5 sec,54.346466064453125
19500,87.5 sec,54.39198303222656
19600,87.5 sec,54.488319396972656
