step,batch size,value
100,87.5 sec,4.184055328369141
200,87.5 sec,4.146951675415039
300,87.5 sec,4.066708087921143
400,87.5 sec,3.9210028648376465
500,87.5 sec,3.8225903511047363
600,87.5 sec,3.7187676429748535
700,87.5 sec,3.5995006561279297
800,87.5 sec,3.4189846515655518
900,87.5 sec,3.253066301345825
1000,87.5 sec,3.077664375305176
1100,87.5 sec,2.9095141887664795
1200,87.5 sec,2.7161529064178467
1300,87.5 sec,2.564211368560791
1400,87.5 sec,2.383120059967041
1500,87.5 sec,2.2289133071899414
1600,87.5 sec,2.05316424369812
1700,87.5 sec,1.8874586820602417
1800,87.5 sec,1.7505947351455688
1900,87.5 sec,1.590730905532837
2000,87.5 sec,1.4339717626571655
2100,87.5 sec,1.354280948638916
2200,87.5 sec,1.229263186454773
2300,87.5 sec,1.126753568649292
2400,87.5 sec,1.0285794734954834
2500,87.5 sec,0.9345747232437134
2600,87.5 sec,0.8562032580375671
2700,87.5 sec,0.7889877557754517
2800,87.5 sec,0.7337470054626465
2900,87.5 sec,0.6601053476333618
3000,87.5 sec,0.5985291004180908
3100,87.5 sec,0.5622982382774353
3200,87.5 sec,0.5403631329536438
3300,87.5 sec,0.524177074432373
3400,87.5 sec,0.49022483825683594
3500,87.5 sec,0.44638538360595703
3600,87.5 sec,0.40828007459640503
3700,87.5 sec,0.37484318017959595
3800,87.5 sec,0.34738966822624207
3900,87.5 sec,0.3245288133621216
4000,87.5 sec,0.3099064826965332
4100,87.5 sec,0.29117661714553833
4200,87.5 sec,0.28176406025886536
4300,87.5 sec,0.2740355134010315
4400,87.5 sec,0.2590523064136505
4500,87.5 sec,0.25123539566993713
4600,87.5 sec,0.2367391586303711
4700,87.5 sec,0.231011301279068
4800,87.5 sec,0.22165271639823914
4900,87.5 sec,0.21626056730747223
5000,87.5 sec,0.2045341432094574
5100,87.5 sec,0.20057043433189392
5200,87.5 sec,0.19569718837738037
5300,87.5 sec,0.18740716576576233
5400,87.5 sec,0.1796647012233734
5500,87.5 sec,0.17375224828720093
5600,87.5 sec,0.16562992334365845
5700,87.5 sec,0.15933716297149658
5800,87.5 sec,0.15313531458377838
5900,87.5 sec,0.15177805721759796
6000,87.5 sec,0.14931297302246094
6100,87.5 sec,0.143748939037323
6200,87.5 sec,0.1372314691543579
6300,87.5 sec,0.13787592947483063
6400,87.5 sec,0.13163676857948303
6500,87.5 sec,0.1308288425207138
6600,87.5 sec,0.12718074023723602
6700,87.5 sec,0.12415745854377747
6800,87.5 sec,0.12040287256240845
6900,87.5 sec,0.11713042855262756
7000,87.5 sec,0.11509197950363159
7100,87.5 sec,0.10991238802671432
7200,87.5 sec,0.11188218742609024
7300,87.5 sec,0.10903885960578918
7400,87.5 sec,0.10526417940855026
7500,87.5 sec,0.10251398384571075
7600,87.5 sec,0.10135927051305771
7700,87.5 sec,0.09831871092319489
7800,87.5 sec,0.0988902822136879
7900,87.5 sec,0.0972708985209465
8000,87.5 sec,0.09413978457450867
8100,87.5 sec,0.0936594307422638
8200,87.5 sec,0.09643558412790298
8300,87.5 sec,0.09277942776679993
8400,87.5 sec,0.09316535294055939
8500,87.5 sec,0.09500390291213989
8600,87.5 sec,0.09678997099399567
8700,87.5 sec,0.10563880205154419
8800,87.5 sec,0.13164712488651276
8900,87.5 sec,0.1941087543964386
9000,87.5 sec,0.2921622395515442
9100,87.5 sec,0.4149336516857147
9200,87.5 sec,0.5433939099311829
9300,87.5 sec,0.7083162665367126
9400,87.5 sec,0.9213069081306458
9500,87.5 sec,1.2529492378234863
9600,87.5 sec,1.6377090215682983
9700,87.5 sec,2.0479001998901367
9800,87.5 sec,2.4444777965545654
9900,87.5 sec,2.7007970809936523
10000,87.5 sec,2.9431347846984863
10100,87.5 sec,3.021916389465332
10200,87.5 sec,3.090934991836548
10300,87.5 sec,3.1623117923736572
10400,87.5 sec,3.2680318355560303
10500,87.5 sec,3.2907304763793945
10600,87.5 sec,3.3177294731140137
10700,87.5 sec,3.2466535568237305
