step,batch size,value
100,87.5 sec,121.62991333007812
200,87.5 sec,126.60604095458984
300,87.5 sec,131.7089080810547
400,87.5 sec,134.52841186523438
500,87.5 sec,143.40126037597656
600,87.5 sec,150.8147430419922
700,87.5 sec,160.9688720703125
800,87.5 sec,168.65420532226562
900,87.5 sec,175.34628295898438
1000,87.5 sec,184.51197814941406
1100,87.5 sec,191.01588439941406
1200,87.5 sec,196.16290283203125
1300,87.5 sec,203.8057403564453
1400,87.5 sec,209.1280975341797
1500,87.5 sec,215.73670959472656
1600,87.5 sec,221.9532470703125
1700,87.5 sec,227.39361572265625
1800,87.5 sec,234.0682373046875
1900,87.5 sec,237.286865234375
2000,87.5 sec,242.3738555908203
2100,87.5 sec,249.05422973632812
2200,87.5 sec,251.15245056152344
2300,87.5 sec,258.62371826171875
2400,87.5 sec,261.7581481933594
2500,87.5 sec,266.232421875
2600,87.5 sec,267.8886413574219
2700,87.5 sec,271.8289794921875
2800,87.5 sec,276.08648681640625
2900,87.5 sec,276.9461669921875
3000,87.5 sec,280.2488098144531
3100,87.5 sec,281.208740234375
3200,87.5 sec,276.134033203125
3300,87.5 sec,255.91116333007812
3400,87.5 sec,256.77618408203125
3500,87.5 sec,262.8370361328125
3600,87.5 sec,272.0334777832031
3700,87.5 sec,279.3291931152344
3800,87.5 sec,284.6123962402344
3900,87.5 sec,287.046875
4000,87.5 sec,288.1742248535156
4100,87.5 sec,288.1006774902344
4200,87.5 sec,288.688720703125
4300,87.5 sec,288.5749206542969
4400,87.5 sec,290.8038330078125
4500,87.5 sec,291.35845947265625
4600,87.5 sec,290.480224609375
4700,87.5 sec,290.50543212890625
4800,87.5 sec,291.9410400390625
4900,87.5 sec,291.6025390625
5000,87.5 sec,292.2109375
5100,87.5 sec,289.404296875
5200,87.5 sec,280.1343078613281
5300,87.5 sec,286.52545166015625
5400,87.5 sec,285.9029541015625
5500,87.5 sec,280.9533996582031
5600,87.5 sec,283.0728454589844
5700,87.5 sec,287.64727783203125
5800,87.5 sec,285.14666748046875
5900,87.5 sec,283.9326171875
6000,87.5 sec,286.4148254394531
6100,87.5 sec,286.99981689453125
6200,87.5 sec,287.02978515625
6300,87.5 sec,288.20306396484375
6400,87.5 sec,288.5680236816406
6500,87.5 sec,287.6290588378906
6600,87.5 sec,287.2748718261719
6700,87.5 sec,286.9164733886719
6800,87.5 sec,286.7268981933594
6900,87.5 sec,285.83917236328125
7000,87.5 sec,286.7932434082031
7100,87.5 sec,285.3612976074219
7200,87.5 sec,286.0068664550781
7300,87.5 sec,285.6039123535156
7400,87.5 sec,284.1493225097656
7500,87.5 sec,285.5247802734375
7600,87.5 sec,285.5540466308594
7700,87.5 sec,284.6219177246094
7800,87.5 sec,286.4505920410156
7900,87.5 sec,285.2579040527344
8000,87.5 sec,285.5965270996094
8100,87.5 sec,284.6540832519531
8200,87.5 sec,283.5389099121094
8300,87.5 sec,281.18377685546875
8400,87.5 sec,277.1436767578125
8500,87.5 sec,277.3077392578125
8600,87.5 sec,278.06378173828125
8700,87.5 sec,276.6349792480469
8800,87.5 sec,275.8475341796875
8900,87.5 sec,260.2187194824219
9000,87.5 sec,226.00625610351562
9100,87.5 sec,191.31842041015625
9200,87.5 sec,162.094970703125
9300,87.5 sec,138.99008178710938
9400,87.5 sec,114.72462463378906
9500,87.5 sec,89.94998168945312
9600,87.5 sec,68.72244262695312
9700,87.5 sec,52.9732551574707
9800,87.5 sec,42.35195541381836
9900,87.5 sec,36.72721481323242
10000,87.5 sec,31.34073257446289
10100,87.5 sec,26.681617736816406
10200,87.5 sec,22.00051498413086
10300,87.5 sec,19.433351516723633
10400,87.5 sec,16.685895919799805
10500,87.5 sec,14.707180976867676
10600,87.5 sec,13.468929290771484
10700,87.5 sec,11.962459564208984
10800,87.5 sec,11.536816596984863
10900,87.5 sec,11.191637992858887
11000,87.5 sec,10.251800537109375
11100,87.5 sec,9.69568157196045
11200,87.5 sec,9.810836791992188
11300,87.5 sec,9.564255714416504
11400,87.5 sec,9.137877464294434
11500,87.5 sec,8.893378257751465
11600,87.5 sec,8.433233261108398
11700,87.5 sec,8.375838279724121
11800,87.5 sec,8.035079956054688
11900,87.5 sec,7.861717224121094
12000,87.5 sec,7.693480968475342
12100,87.5 sec,7.606942176818848
12200,87.5 sec,7.536358833312988
12300,87.5 sec,7.358066558837891
12400,87.5 sec,7.442546844482422
12500,87.5 sec,7.528179168701172
12600,87.5 sec,7.589673042297363
12700,87.5 sec,7.34672212600708
12800,87.5 sec,7.374870300292969
12900,87.5 sec,7.337641716003418
13000,87.5 sec,7.2440009117126465
13100,87.5 sec,7.159459590911865
13200,87.5 sec,7.2126007080078125
13300,87.5 sec,7.110970497131348
13400,87.5 sec,7.2268853187561035
13500,87.5 sec,7.410191535949707
13600,87.5 sec,7.275604248046875
13700,87.5 sec,7.2980637550354
13800,87.5 sec,7.610991477966309
13900,87.5 sec,7.652097702026367
14000,87.5 sec,7.835455894470215
14100,87.5 sec,7.568847179412842
