"Step","1873380_2 - similarity_cb1_avg","1873380_2 - similarity_cb1_avg__MIN","1873380_2 - similarity_cb1_avg__MAX","4395274 - similarity_cb1_avg","4395274 - similarity_cb1_avg__MIN","4395274 - similarity_cb1_avg__MAX","1940028_1 - similarity_cb1_avg","1940028_1 - similarity_cb1_avg__MIN","1940028_1 - similarity_cb1_avg__MAX","4520555_1 - similarity_cb1_avg","4520555_1 - similarity_cb1_avg__MIN","4520555_1 - similarity_cb1_avg__MAX","2536305_1 - similarity_cb1_avg","2536305_1 - similarity_cb1_avg__MIN","2536305_1 - similarity_cb1_avg__MAX","2536333_1 - similarity_cb1_avg","2536333_1 - similarity_cb1_avg__MIN","2536333_1 - similarity_cb1_avg__MAX","1940035_0 - similarity_cb1_avg","1940035_0 - similarity_cb1_avg__MIN","1940035_0 - similarity_cb1_avg__MAX"
"100","0.7499018311500549","0.7499018311500549","0.7499018311500549","0.7499047517776489","0.7499047517776489","0.7499047517776489","0.749883770942688","0.749883770942688","0.749883770942688","0.7498781681060791","0.7498781681060791","0.7498781681060791","0.7498746514320374","0.7498746514320374","0.7498746514320374","0.7498722672462463","0.7498722672462463","0.7498722672462463","0.7498686909675598","0.7498686909675598","0.7498686909675598"
"200","0.7499262094497681","0.7499262094497681","0.7499262094497681","0.7499334216117859","0.7499334216117859","0.7499334216117859","0.7498965263366699","0.7498965263366699","0.7498965263366699","0.7498873472213745","0.7498873472213745","0.7498873472213745","0.7498804926872253","0.7498804926872253","0.7498804926872253","0.7498757243156433","0.7498757243156433","0.7498757243156433","0.749869167804718","0.749869167804718","0.749869167804718"
"300","0.7499497532844543","0.7499497532844543","0.7499497532844543","0.7499626874923706","0.7499626874923706","0.7499626874923706","0.749908447265625","0.749908447265625","0.749908447265625","0.7498953342437744","0.7498953342437744","0.7498953342437744","0.7498863339424133","0.7498863339424133","0.7498863339424133","0.7498794198036194","0.7498794198036194","0.7498794198036194","0.7498697638511658","0.7498697638511658","0.7498697638511658"
"400","0.7499810457229614","0.7499810457229614","0.7499810457229614","0.7500185370445251","0.7500185370445251","0.7500185370445251","0.7499192953109741","0.7499192953109741","0.7499192953109741","0.7499032616615295","0.7499032616615295","0.7499032616615295","0.7498918175697327","0.7498918175697327","0.7498918175697327","0.7498834729194641","0.7498834729194641","0.7498834729194641","0.7498703598976135","0.7498703598976135","0.7498703598976135"
"500","0.7500494718551636","0.7500494718551636","0.7500494718551636","0.750108540058136","0.750108540058136","0.750108540058136","0.7499380111694336","0.7499380111694336","0.7499380111694336","0.7499099969863892","0.7499099969863892","0.7499099969863892","0.7498967051506042","0.7498967051506042","0.7498967051506042","0.7498874068260193","0.7498874068260193","0.7498874068260193","0.7498709559440613","0.7498709559440613","0.7498709559440613"
"600","0.7501230835914612","0.7501230835914612","0.7501230835914612","0.7501929998397827","0.7501929998397827","0.7501929998397827","0.7499582171440125","0.7499582171440125","0.7499582171440125","0.749920129776001","0.749920129776001","0.749920129776001","0.7499013543128967","0.7499013543128967","0.7499013543128967","0.7498911619186401","0.7498911619186401","0.7498911619186401","0.7498716711997986","0.7498716711997986","0.7498716711997986"
"700","0.7502211332321167","0.7502211332321167","0.7502211332321167","0.7503435015678406","0.7503435015678406","0.7503435015678406","0.7499900460243225","0.7499900460243225","0.7499900460243225","0.7499344944953918","0.7499344944953918","0.7499344944953918","0.7499058842658997","0.7499058842658997","0.7499058842658997","0.7498948574066162","0.7498948574066162","0.7498948574066162","0.7498723268508911","0.7498723268508911","0.7498723268508911"
"800","0.7503726482391357","0.7503726482391357","0.7503726482391357","0.750537097454071","0.750537097454071","0.750537097454071","0.7500272393226624","0.7500272393226624","0.7500272393226624","0.7499512434005737","0.7499512434005737","0.7499512434005737","0.7499099373817444","0.7499099373817444","0.7499099373817444","0.7498975992202759","0.7498975992202759","0.7498975992202759","0.7498732209205627","0.7498732209205627","0.7498732209205627"
"900","0.7505477666854858","0.7505477666854858","0.7505477666854858","0.7507241368293762","0.7507241368293762","0.7507241368293762","0.7500668168067932","0.7500668168067932","0.7500668168067932","0.7499710917472839","0.7499710917472839","0.7499710917472839","0.7499196529388428","0.7499196529388428","0.7499196529388428","0.749900221824646","0.749900221824646","0.749900221824646","0.7498739361763","0.7498739361763","0.7498739361763"
"1000","0.7507318258285522","0.7507318258285522","0.7507318258285522","0.7509190440177917","0.7509190440177917","0.7509190440177917","0.7501209378242493","0.7501209378242493","0.7501209378242493","0.7499932646751404","0.7499932646751404","0.7499932646751404","0.7499291896820068","0.7499291896820068","0.7499291896820068","0.74990314245224","0.74990314245224","0.74990314245224","0.7498747110366821","0.7498747110366821","0.7498747110366821"
