"Step","1873380_2 - similarity_cb1_min","1873380_2 - similarity_cb1_min__MIN","1873380_2 - similarity_cb1_min__MAX","4395274 - similarity_cb1_min","4395274 - similarity_cb1_min__MIN","4395274 - similarity_cb1_min__MAX","1940028_1 - similarity_cb1_min","1940028_1 - similarity_cb1_min__MIN","1940028_1 - similarity_cb1_min__MAX","4520555_1 - similarity_cb1_min","4520555_1 - similarity_cb1_min__MIN","4520555_1 - similarity_cb1_min__MAX","2536305_1 - similarity_cb1_min","2536305_1 - similarity_cb1_min__MIN","2536305_1 - similarity_cb1_min__MAX","2536333_1 - similarity_cb1_min","2536333_1 - similarity_cb1_min__MIN","2536333_1 - similarity_cb1_min__MAX","1940035_0 - similarity_cb1_min","1940035_0 - similarity_cb1_min__MIN","1940035_0 - similarity_cb1_min__MAX"
"100","0.6327248215675354","0.6327248215675354","0.6327248215675354","0.6327202916145325","0.6327202916145325","0.6327202916145325","0.6327080130577087","0.6327080130577087","0.6327080130577087","0.6327111721038818","0.6327111721038818","0.6327111721038818","0.6327085494995117","0.6327085494995117","0.6327085494995117","0.6327075362205505","0.6327075362205505","0.6327075362205505","0.632703959941864","0.632703959941864","0.632703959941864"
"200","0.6327760815620422","0.6327760815620422","0.6327760815620422","0.6327562928199768","0.6327562928199768","0.6327562928199768","0.6327165961265564","0.6327165961265564","0.6327165961265564","0.632721483707428","0.632721483707428","0.632721483707428","0.6327126622200012","0.6327126622200012","0.6327126622200012","0.6327106952667236","0.6327106952667236","0.6327106952667236","0.6327042579650879","0.6327042579650879","0.6327042579650879"
"300","0.6328121423721313","0.6328121423721313","0.6328121423721313","0.632803201675415","0.632803201675415","0.632803201675415","0.6327426433563232","0.6327426433563232","0.6327426433563232","0.6327292919158936","0.6327292919158936","0.6327292919158936","0.632716715335846","0.632716715335846","0.632716715335846","0.6327154636383057","0.6327154636383057","0.6327154636383057","0.6327046751976013","0.6327046751976013","0.6327046751976013"
"400","0.6328679323196411","0.6328679323196411","0.6328679323196411","0.6328820586204529","0.6328820586204529","0.6328820586204529","0.6327604651451111","0.6327604651451111","0.6327604651451111","0.6327423453330994","0.6327423453330994","0.6327423453330994","0.6327228546142578","0.6327228546142578","0.6327228546142578","0.6327157020568848","0.6327157020568848","0.6327157020568848","0.6327056884765625","0.6327056884765625","0.6327056884765625"
"500","0.6329090595245361","0.6329090595245361","0.6329090595245361","0.6330069303512573","0.6330069303512573","0.6330069303512573","0.6327784061431885","0.6327784061431885","0.6327784061431885","0.6327533721923828","0.6327533721923828","0.6327533721923828","0.6327359676361084","0.6327359676361084","0.6327359676361084","0.6327201724052429","0.6327201724052429","0.6327201724052429","0.632705807685852","0.632705807685852","0.632705807685852"
"600","0.633049488067627","0.633049488067627","0.633049488067627","0.6333029270172119","0.6333029270172119","0.6333029270172119","0.6328301429748535","0.6328301429748535","0.6328301429748535","0.6327738761901855","0.6327738761901855","0.6327738761901855","0.6327436566352844","0.6327436566352844","0.6327436566352844","0.6327195167541504","0.6327195167541504","0.6327195167541504","0.632705807685852","0.632705807685852","0.632705807685852"
"700","0.6334453225135803","0.6334453225135803","0.6334453225135803","0.6338435411453247","0.6338435411453247","0.6338435411453247","0.6328984498977661","0.6328984498977661","0.6328984498977661","0.632815420627594","0.632815420627594","0.632815420627594","0.6327457427978516","0.6327457427978516","0.6327457427978516","0.6327283382415771","0.6327283382415771","0.6327283382415771","0.6327066421508789","0.6327066421508789","0.6327066421508789"
"800","0.6338933706283569","0.6338933706283569","0.6338933706283569","0.6343833208084106","0.6343833208084106","0.6343833208084106","0.6329278945922852","0.6329278945922852","0.6329278945922852","0.6328563690185547","0.6328563690185547","0.6328563690185547","0.6327700018882751","0.6327700018882751","0.6327700018882751","0.6327273845672607","0.6327273845672607","0.6327273845672607","0.6327072381973267","0.6327072381973267","0.6327072381973267"
"900","0.6343247294425964","0.6343247294425964","0.6343247294425964","0.6348299980163574","0.6348299980163574","0.6348299980163574","0.6329740881919861","0.6329740881919861","0.6329740881919861","0.6328848600387573","0.6328848600387573","0.6328848600387573","0.6327844262123108","0.6327844262123108","0.6327844262123108","0.6327440142631531","0.6327440142631531","0.6327440142631531","0.6327089667320251","0.6327089667320251","0.6327089667320251"
"1000","0.6349833011627197","0.6349833011627197","0.6349833011627197","0.6353360414505005","0.6353360414505005","0.6353360414505005","0.6330435872077942","0.6330435872077942","0.6330435872077942","0.6329249143600464","0.6329249143600464","0.6329249143600464","0.6328011751174927","0.6328011751174927","0.6328011751174927","0.6327558755874634","0.6327558755874634","0.6327558755874634","0.6327096223831177","0.6327096223831177","0.6327096223831177"
