"Step","1873380_2 - train/loss","1873380_2 - train/loss__MIN","1873380_2 - train/loss__MAX","4395274 - train/loss","4395274 - train/loss__MIN","4395274 - train/loss__MAX","1940028_1 - train/loss","1940028_1 - train/loss__MIN","1940028_1 - train/loss__MAX","4520555_1 - train/loss","4520555_1 - train/loss__MIN","4520555_1 - train/loss__MAX","2536305_1 - train/loss","2536305_1 - train/loss__MIN","2536305_1 - train/loss__MAX","2536333_1 - train/loss","2536333_1 - train/loss__MIN","2536333_1 - train/loss__MAX","1940035_0 - train/loss","1940035_0 - train/loss__MIN","1940035_0 - train/loss__MAX"
"100","13275.0595703125","13275.0595703125","13275.0595703125","13283.6708984375","13283.6708984375","13283.6708984375","13369.279296875","13369.279296875","13369.279296875","13330.1015625","13330.1015625","13330.1015625","13330.1884765625","13330.1884765625","13330.1884765625","13418.1865234375","13418.1865234375","13418.1865234375","8453.2734375","8453.2734375","8453.2734375"
"200","13252.78515625","13252.78515625","13252.78515625","13181.1923828125","13181.1923828125","13181.1923828125","13258.0029296875","13258.0029296875","13258.0029296875","13282.6328125","13282.6328125","13282.6328125","13291.1435546875","13291.1435546875","13291.1435546875","13221.0400390625","13221.0400390625","13221.0400390625","8411.263671875","8411.263671875","8411.263671875"
"300","13278.5712890625","13278.5712890625","13278.5712890625","13145.927734375","13145.927734375","13145.927734375","13142.451171875","13142.451171875","13142.451171875","13224.8271484375","13224.8271484375","13224.8271484375","13394.5322265625","13394.5322265625","13394.5322265625","13256.1123046875","13256.1123046875","13256.1123046875","8410.6171875","8410.6171875","8410.6171875"
"400","12964.240234375","12964.240234375","12964.240234375","12870.0087890625","12870.0087890625","12870.0087890625","13014.787109375","13014.787109375","13014.787109375","13217.4052734375","13217.4052734375","13217.4052734375","13207.5390625","13207.5390625","13207.5390625","13315.478515625","13315.478515625","13315.478515625","8441.45703125","8441.45703125","8441.45703125"
"500","12500.64453125","12500.64453125","12500.64453125","12251.455078125","12251.455078125","12251.455078125","12745.5966796875","12745.5966796875","12745.5966796875","13233.0595703125","13233.0595703125","13233.0595703125","13151.443359375","13151.443359375","13151.443359375","13341.638671875","13341.638671875","13341.638671875","8359.494140625","8359.494140625","8359.494140625"
"600","12132.943359375","12132.943359375","12132.943359375","11969.4287109375","11969.4287109375","11969.4287109375","12425.447265625","12425.447265625","12425.447265625","13250.1875","13250.1875","13250.1875","13213.92578125","13213.92578125","13213.92578125","13437.3203125","13437.3203125","13437.3203125","8014.64794921875","8014.64794921875","8014.64794921875"
"700","12222.275390625","12222.275390625","12222.275390625","12102.70703125","12102.70703125","12102.70703125","12720.4052734375","12720.4052734375","12720.4052734375","13039.892578125","13039.892578125","13039.892578125","13227.47265625","13227.47265625","13227.47265625","13293.2626953125","13293.2626953125","13293.2626953125","7881.13916015625","7881.13916015625","7881.13916015625"
"800","11843.6025390625","11843.6025390625","11843.6025390625","11821.4599609375","11821.4599609375","11821.4599609375","12706.6025390625","12706.6025390625","12706.6025390625","12917.990234375","12917.990234375","12917.990234375","13249.4970703125","13249.4970703125","13249.4970703125","13124.85546875","13124.85546875","13124.85546875","7900.162109375","7900.162109375","7900.162109375"
"900","11896.2900390625","11896.2900390625","11896.2900390625","11862.552734375","11862.552734375","11862.552734375","12374.3779296875","12374.3779296875","12374.3779296875","12776.03125","12776.03125","12776.03125","12921.83984375","12921.83984375","12921.83984375","13154.84375","13154.84375","13154.84375","7903.97265625","7903.97265625","7903.97265625"
"1000","11510.1552734375","11510.1552734375","11510.1552734375","11615.97265625","11615.97265625","11615.97265625","11924.79296875","11924.79296875","11924.79296875","12702.6650390625","12702.6650390625","12702.6650390625","11885.09765625","11885.09765625","11885.09765625","13139.2353515625","13139.2353515625","13139.2353515625","7926.6806640625","7926.6806640625","7926.6806640625"
"1100","11270.2001953125","11270.2001953125","11270.2001953125","11505.4404296875","11505.4404296875","11505.4404296875","11491.375","11491.375","11491.375","12616.87109375","12616.87109375","12616.87109375","11219","11219","11219","13190.84375","13190.84375","13190.84375","7904.99951171875","7904.99951171875","7904.99951171875"
"1200","11616.48828125","11616.48828125","11616.48828125","11480.482421875","11480.482421875","11480.482421875","12094.861328125","12094.861328125","12094.861328125","12469.8447265625","12469.8447265625","12469.8447265625","11501.513671875","11501.513671875","11501.513671875","13203.9072265625","13203.9072265625","13203.9072265625","7872.9033203125","7872.9033203125","7872.9033203125"
