"Step","1873380_2 - train/loss_contrastive","1873380_2 - train/loss_contrastive__MIN","1873380_2 - train/loss_contrastive__MAX","4395274 - train/loss_contrastive","4395274 - train/loss_contrastive__MIN","4395274 - train/loss_contrastive__MAX","1940028_1 - train/loss_contrastive","1940028_1 - train/loss_contrastive__MIN","1940028_1 - train/loss_contrastive__MAX","4520555_1 - train/loss_contrastive","4520555_1 - train/loss_contrastive__MIN","4520555_1 - train/loss_contrastive__MAX","2536305_1 - train/loss_contrastive","2536305_1 - train/loss_contrastive__MIN","2536305_1 - train/loss_contrastive__MAX","2536333_1 - train/loss_contrastive","2536333_1 - train/loss_contrastive__MIN","2536333_1 - train/loss_contrastive__MAX","1940035_0 - train/loss_contrastive","1940035_0 - train/loss_contrastive__MIN","1940035_0 - train/loss_contrastive__MAX"
"100","13258.109375","13258.109375","13258.109375","13266.9306640625","13266.9306640625","13266.9306640625","13346.4296875","13346.4296875","13346.4296875","13304.2744140625","13304.2744140625","13304.2744140625","13302.2080078125","13302.2080078125","13302.2080078125","13388.30078125","13388.30078125","13388.30078125","8420.9228515625","8420.9228515625","8420.9228515625"
"200","13249.2587890625","13249.2587890625","13249.2587890625","13178.1728515625","13178.1728515625","13178.1728515625","13246.96484375","13246.96484375","13246.96484375","13267.02734375","13267.02734375","13267.02734375","13271.0458984375","13271.0458984375","13271.0458984375","13197.0986328125","13197.0986328125","13197.0986328125","8379.916015625","8379.916015625","8379.916015625"
"300","13277.7529296875","13277.7529296875","13277.7529296875","13145.26953125","13145.26953125","13145.26953125","13137.6201171875","13137.6201171875","13137.6201171875","13215.4609375","13215.4609375","13215.4609375","13380.02734375","13380.02734375","13380.02734375","13236.6572265625","13236.6572265625","13236.6572265625","8380.5625","8380.5625","8380.5625"
"400","12960.3046875","12960.3046875","12960.3046875","12854.9970703125","12854.9970703125","12854.9970703125","13012.6923828125","13012.6923828125","13012.6923828125","13212.232421875","13212.232421875","13212.232421875","13197.2978515625","13197.2978515625","13197.2978515625","13299.97265625","13299.97265625","13299.97265625","8412.2646484375","8412.2646484375","8412.2646484375"
"500","12458.865234375","12458.865234375","12458.865234375","12204.10546875","12204.10546875","12204.10546875","12728.072265625","12728.072265625","12728.072265625","13230.1572265625","13230.1572265625","13230.1572265625","13144.6484375","13144.6484375","13144.6484375","13329.3759765625","13329.3759765625","13329.3759765625","8331.927734375","8331.927734375","8331.927734375"
"600","12085.6474609375","12085.6474609375","12085.6474609375","11921.9970703125","11921.9970703125","11921.9970703125","12383.388671875","12383.388671875","12383.388671875","13242.6416015625","13242.6416015625","13242.6416015625","13209.6220703125","13209.6220703125","13209.6220703125","13427.79296875","13427.79296875","13427.79296875","7988.71630859375","7988.71630859375","7988.71630859375"
"700","12170.26171875","12170.26171875","12170.26171875","12047.8896484375","12047.8896484375","12047.8896484375","12670.8095703125","12670.8095703125","12670.8095703125","13003.4599609375","13003.4599609375","13003.4599609375","13224.5771484375","13224.5771484375","13224.5771484375","13286.03515625","13286.03515625","13286.03515625","7856.91015625","7856.91015625","7856.91015625"
"800","11787.1513671875","11787.1513671875","11787.1513671875","11764.5390625","11764.5390625","11764.5390625","12656.9677734375","12656.9677734375","12656.9677734375","12870.5029296875","12870.5029296875","12870.5029296875","13247.1279296875","13247.1279296875","13247.1279296875","13119.5498046875","13119.5498046875","13119.5498046875","7877.16259765625","7877.16259765625","7877.16259765625"
"900","11839.0048828125","11839.0048828125","11839.0048828125","11805.28515625","11805.28515625","11805.28515625","12324.6953125","12324.6953125","12324.6953125","12726.3486328125","12726.3486328125","12726.3486328125","12904.4189453125","12904.4189453125","12904.4189453125","13150.9072265625","13150.9072265625","13150.9072265625","7882.41552734375","7882.41552734375","7882.41552734375"
"1000","11452.80078125","11452.80078125","11452.80078125","11558.072265625","11558.072265625","11558.072265625","11871.4921875","11871.4921875","11871.4921875","12652.697265625","12652.697265625","12652.697265625","11847.728515625","11847.728515625","11847.728515625","13136.2587890625","13136.2587890625","13136.2587890625","7906.42236328125","7906.42236328125","7906.42236328125"
