"Step","1873380_2 - train/loss_l2_speech_features","1873380_2 - train/loss_l2_speech_features__MIN","1873380_2 - train/loss_l2_speech_features__MAX","4395274 - train/loss_l2_speech_features","4395274 - train/loss_l2_speech_features__MIN","4395274 - train/loss_l2_speech_features__MAX","1940028_1 - train/loss_l2_speech_features","1940028_1 - train/loss_l2_speech_features__MIN","1940028_1 - train/loss_l2_speech_features__MAX","4520555_1 - train/loss_l2_speech_features","4520555_1 - train/loss_l2_speech_features__MIN","4520555_1 - train/loss_l2_speech_features__MAX","2536305_1 - train/loss_l2_speech_features","2536305_1 - train/loss_l2_speech_features__MIN","2536305_1 - train/loss_l2_speech_features__MAX","2536333_1 - train/loss_l2_speech_features","2536333_1 - train/loss_l2_speech_features__MIN","2536333_1 - train/loss_l2_speech_features__MAX","1940035_0 - train/loss_l2_speech_features","1940035_0 - train/loss_l2_speech_features__MIN","1940035_0 - train/loss_l2_speech_features__MAX"
"100","2.4596850872039795","2.4596850872039795","2.4596850872039795","2.399247407913208","2.399247407913208","2.399247407913208","3.3377156257629395","3.3377156257629395","3.3377156257629395","3.6550018787384033","3.6550018787384033","3.6550018787384033","3.8610281944274902","3.8610281944274902","3.8610281944274902","4.010027885437012","4.010027885437012","4.010027885437012","4.184055328369141","4.184055328369141","4.184055328369141"
"200","0.5978314280509949","0.5978314280509949","0.5978314280509949","0.5211842060089111","0.5211842060089111","0.5211842060089111","1.6962273120880127","1.6962273120880127","1.6962273120880127","2.4301929473876953","2.4301929473876953","2.4301929473876953","3.025239944458008","3.025239944458008","3.025239944458008","3.5331344604492188","3.5331344604492188","3.5331344604492188","4.146951675415039","4.146951675415039","4.146951675415039"
"300","0.2343244105577469","0.2343244105577469","0.2343244105577469","0.2028551548719406","0.2028551548719406","0.2028551548719406","0.7931216359138489","0.7931216359138489","0.7931216359138489","1.4454619884490967","1.4454619884490967","1.4454619884490967","2.238074541091919","2.238074541091919","2.238074541091919","2.9412055015563965","2.9412055015563965","2.9412055015563965","4.066708087921143","4.066708087921143","4.066708087921143"
"400","0.23517963290214539","0.23517963290214539","0.23517963290214539","0.6843242049217224","0.6843242049217224","0.6843242049217224","0.4331801235675812","0.4331801235675812","0.4331801235675812","0.8507512807846069","0.8507512807846069","0.8507512807846069","1.5451197624206543","1.5451197624206543","1.5451197624206543","2.4081544876098633","2.4081544876098633","2.4081544876098633","3.9210028648376465","3.9210028648376465","3.9210028648376465"
"500","2.5418002605438232","2.5418002605438232","2.5418002605438232","3.0558218955993652","3.0558218955993652","3.0558218955993652","0.8454699516296387","0.8454699516296387","0.8454699516296387","0.5484891533851624","0.5484891533851624","0.5484891533851624","1.051329493522644","1.051329493522644","1.051329493522644","1.9045820236206055","1.9045820236206055","1.9045820236206055","3.8225903511047363","3.8225903511047363","3.8225903511047363"
"600","2.3035237789154053","2.3035237789154053","2.3035237789154053","1.8210068941116333","1.8210068941116333","1.8210068941116333","2.6773529052734375","2.6773529052734375","2.6773529052734375","0.5866849422454834","0.5866849422454834","0.5866849422454834","0.7372682094573975","0.7372682094573975","0.7372682094573975","1.4569218158721924","1.4569218158721924","1.4569218158721924","3.7187676429748535","3.7187676429748535","3.7187676429748535"
"700","1.9354361295700073","1.9354361295700073","1.9354361295700073","2.1488540172576904","2.1488540172576904","2.1488540172576904","3.956162214279175","3.956162214279175","3.956162214279175","1.8099472522735596","1.8099472522735596","1.8099472522735596","0.5440222024917603","0.5440222024917603","0.5440222024917603","1.108873724937439","1.108873724937439","1.108873724937439","3.5995006561279297","3.5995006561279297","3.5995006561279297"
"800","2.1170613765716553","2.1170613765716553","2.1170613765716553","1.897926926612854","1.897926926612854","1.897926926612854","3.1958141326904297","3.1958141326904297","3.1958141326904297","3.3541061878204346","3.3541061878204346","3.3541061878204346","0.4584701657295227","0.4584701657295227","0.4584701657295227","0.8686549663543701","0.8686549663543701","0.8686549663543701","3.4189846515655518","3.4189846515655518","3.4189846515655518"
"900","1.7398898601531982","1.7398898601531982","1.7398898601531982","1.5130871534347534","1.5130871534347534","1.5130871534347534","2.370940923690796","2.370940923690796","2.370940923690796","3.7890634536743164","3.7890634536743164","3.7890634536743164","0.8489628434181213","0.8489628434181213","0.8489628434181213","0.6874866485595703","0.6874866485595703","0.6874866485595703","3.253066301345825","3.253066301345825","3.253066301345825"
"1000","1.5323809385299683","1.5323809385299683","1.5323809385299683","1.3609576225280762","1.3609576225280762","1.3609576225280762","2.3202881813049316","2.3202881813049316","2.3202881813049316","3.6200549602508545","3.6200549602508545","3.6200549602508545","1.9822742938995361","1.9822742938995361","1.9822742938995361","0.5651757717132568","0.5651757717132568","0.5651757717132568","3.077664375305176","3.077664375305176","3.077664375305176"
"1100","1.420954942703247","1.420954942703247","1.420954942703247","1.2390341758728027","1.2390341758728027","1.2390341758728027","2.3604824542999268","2.3604824542999268","2.3604824542999268","3.1990294456481934","3.1990294456481934","3.1990294456481934","2.8095202445983887","2.8095202445983887","2.8095202445983887","0.5061697363853455","0.5061697363853455","0.5061697363853455","2.9095141887664795","2.9095141887664795","2.9095141887664795"
