"Step","1873380_2 - train/perplexity_cb0","1873380_2 - train/perplexity_cb0__MIN","1873380_2 - train/perplexity_cb0__MAX","4395274 - train/perplexity_cb0","4395274 - train/perplexity_cb0__MIN","4395274 - train/perplexity_cb0__MAX","1940028_1 - train/perplexity_cb0","1940028_1 - train/perplexity_cb0__MIN","1940028_1 - train/perplexity_cb0__MAX","4520555_1 - train/perplexity_cb0","4520555_1 - train/perplexity_cb0__MIN","4520555_1 - train/perplexity_cb0__MAX","2536305_1 - train/perplexity_cb0","2536305_1 - train/perplexity_cb0__MIN","2536305_1 - train/perplexity_cb0__MAX","2536333_1 - train/perplexity_cb0","2536333_1 - train/perplexity_cb0__MIN","2536333_1 - train/perplexity_cb0__MAX","1940035_0 - train/perplexity_cb0","1940035_0 - train/perplexity_cb0__MIN","1940035_0 - train/perplexity_cb0__MAX"
"100","207.09657287597656","207.09657287597656","207.09657287597656","208.91590881347656","208.91590881347656","208.91590881347656","171.07992553710938","171.07992553710938","171.07992553710938","154.09393310546875","154.09393310546875","154.09393310546875","141.96914672851562","141.96914672851562","141.96914672851562","132.84918212890625","132.84918212890625","132.84918212890625","121.62991333007812","121.62991333007812","121.62991333007812"
"200","279.64263916015625","279.64263916015625","279.64263916015625","282.4037170410156","282.4037170410156","282.4037170410156","235.68402099609375","235.68402099609375","235.68402099609375","208.2732696533203","208.2732696533203","208.2732696533203","182.78936767578125","182.78936767578125","182.78936767578125","161.91050720214844","161.91050720214844","161.91050720214844","126.60604095458984","126.60604095458984","126.60604095458984"
"300","290.0071716308594","290.0071716308594","290.0071716308594","290.3439636230469","290.3439636230469","290.3439636230469","272.5520324707031","272.5520324707031","272.5520324707031","244.00135803222656","244.00135803222656","244.00135803222656","215.4599609375","215.4599609375","215.4599609375","186.14878845214844","186.14878845214844","186.14878845214844","131.7089080810547","131.7089080810547","131.7089080810547"
"400","273.6419982910156","273.6419982910156","273.6419982910156","181.18838500976562","181.18838500976562","181.18838500976562","284.5088806152344","284.5088806152344","284.5088806152344","270.4879150390625","270.4879150390625","270.4879150390625","239.3313446044922","239.3313446044922","239.3313446044922","208.81961059570312","208.81961059570312","208.81961059570312","134.52841186523438","134.52841186523438","134.52841186523438"
"500","28.10506820678711","28.10506820678711","28.10506820678711","11.770694732666016","11.770694732666016","11.770694732666016","159.4942169189453","159.4942169189453","159.4942169189453","281.900146484375","281.900146484375","281.900146484375","259.73028564453125","259.73028564453125","259.73028564453125","228.302978515625","228.302978515625","228.302978515625","143.40126037597656","143.40126037597656","143.40126037597656"
"600","8.229663848876953","8.229663848876953","8.229663848876953","7.265354156494141","7.265354156494141","7.265354156494141","30.34962272644043","30.34962272644043","30.34962272644043","253.35386657714844","253.35386657714844","253.35386657714844","274.5019226074219","274.5019226074219","274.5019226074219","245.1506805419922","245.1506805419922","245.1506805419922","150.8147430419922","150.8147430419922","150.8147430419922"
"700","6.807243824005127","6.807243824005127","6.807243824005127","5.503084182739258","5.503084182739258","5.503084182739258","11.737754821777344","11.737754821777344","11.737754821777344","56.13636779785156","56.13636779785156","56.13636779785156","281.339111328125","281.339111328125","281.339111328125","258.4917907714844","258.4917907714844","258.4917907714844","160.9688720703125","160.9688720703125","160.9688720703125"
"800","5.535605430603027","5.535605430603027","5.535605430603027","5.3456854820251465","5.3456854820251465","5.3456854820251465","8.202948570251465","8.202948570251465","8.202948570251465","24.42581558227539","24.42581558227539","24.42581558227539","284.4266662597656","284.4266662597656","284.4266662597656","269.9489440917969","269.9489440917969","269.9489440917969","168.65420532226562","168.65420532226562","168.65420532226562"
"900","5.519765853881836","5.519765853881836","5.519765853881836","6.075418472290039","6.075418472290039","6.075418472290039","8.022404670715332","8.022404670715332","8.022404670715332","14.367613792419434","14.367613792419434","14.367613792419434","167.8584747314453","167.8584747314453","167.8584747314453","277.2167663574219","277.2167663574219","277.2167663574219","175.34628295898438","175.34628295898438","175.34628295898438"
"1000","5.417504787445068","5.417504787445068","5.417504787445068","5.401082992553711","5.401082992553711","5.401082992553711","7.690110206604004","7.690110206604004","7.690110206604004","9.842448234558105","9.842448234558105","9.842448234558105","48.936973571777344","48.936973571777344","48.936973571777344","281.5830993652344","281.5830993652344","281.5830993652344","184.51197814941406","184.51197814941406","184.51197814941406"
