"Step","254139 - train/loss","254139 - train/loss__MIN","254139 - train/loss__MAX","254140 - train/loss","254140 - train/loss__MIN","254140 - train/loss__MAX","254137 - train/loss","254137 - train/loss__MIN","254137 - train/loss__MAX","254138 - train/loss","254138 - train/loss__MIN","254138 - train/loss__MAX"
"100","4.680710792541504","4.680710792541504","4.680710792541504","4.678557872772217","4.678557872772217","4.678557872772217","4.685237884521484","4.685237884521484","4.685237884521484","4.681784629821777","4.681784629821777","4.681784629821777"
"200","4.666261672973633","4.666261672973633","4.666261672973633","4.665971755981445","4.665971755981445","4.665971755981445","4.668329238891602","4.668329238891602","4.668329238891602","4.667753219604492","4.667753219604492","4.667753219604492"
"300","4.664624214172363","4.664624214172363","4.664624214172363","4.664539813995361","4.664539813995361","4.664539813995361","4.6654863357543945","4.6654863357543945","4.6654863357543945","4.6651835441589355","4.6651835441589355","4.6651835441589355"
"400","4.663930892944336","4.663930892944336","4.663930892944336","4.663917064666748","4.663917064666748","4.663917064666748","4.664565563201904","4.664565563201904","4.664565563201904","4.664443492889404","4.664443492889404","4.664443492889404"
"500","4.663706302642822","4.663706302642822","4.663706302642822","4.663723468780518","4.663723468780518","4.663723468780518","4.6640753746032715","4.6640753746032715","4.6640753746032715","4.664008140563965","4.664008140563965","4.664008140563965"
"600","4.663571357727051","4.663571357727051","4.663571357727051","4.663601398468018","4.663601398468018","4.663601398468018","4.663891792297363","4.663891792297363","4.663891792297363","4.66387414932251","4.66387414932251","4.66387414932251"
"700","4.663687705993652","4.663687705993652","4.663687705993652","4.6637163162231445","4.6637163162231445","4.6637163162231445","4.663584232330322","4.663584232330322","4.663584232330322","4.663568019866943","4.663568019866943","4.663568019866943"
"800","4.663774490356445","4.663774490356445","4.663774490356445","4.663777828216553","4.663777828216553","4.663777828216553","4.66364049911499","4.66364049911499","4.66364049911499","4.663634777069092","4.663634777069092","4.663634777069092"
"900","4.663742542266846","4.663742542266846","4.663742542266846","4.663735389709473","4.663735389709473","4.663735389709473","4.663546085357666","4.663546085357666","4.663546085357666","4.663527011871338","4.663527011871338","4.663527011871338"
"1000","4.6637139320373535","4.6637139320373535","4.6637139320373535","4.663743495941162","4.663743495941162","4.663743495941162","4.663508415222168","4.663508415222168","4.663508415222168","4.66352653503418","4.66352653503418","4.66352653503418"
"1100","4.663748741149902","4.663748741149902","4.663748741149902","4.663707733154297","4.663707733154297","4.663707733154297","4.663450717926025","4.663450717926025","4.663450717926025","4.663447380065918","4.663447380065918","4.663447380065918"
"1200","4.663694381713867","4.663694381713867","4.663694381713867","4.663723945617676","4.663723945617676","4.663723945617676","4.663480758666992","4.663480758666992","4.663480758666992","4.663460731506348","4.663460731506348","4.663460731506348"
"1300","4.6636857986450195","4.6636857986450195","4.6636857986450195","4.663689136505127","4.663689136505127","4.663689136505127","4.663763523101807","4.663763523101807","4.663763523101807","4.663750648498535","4.663750648498535","4.663750648498535"
"1400","4.663764476776123","4.663764476776123","4.663764476776123","4.663694381713867","4.663694381713867","4.663694381713867","4.66379976272583","4.66379976272583","4.66379976272583","4.663782596588135","4.663782596588135","4.663782596588135"
